url_path,status,word_count,action,priority,primary_issue,notes
"/",200,1396,Keep,P3,"Meets current intent; maintain","รับซื้อสินค้าไอทีโคราช ประเมินเบื้องต้นผ่าน LINE | WINNER IT"
"/404",404,28,Keep,P3,"Meets current intent; maintain","ไม่พบหน้า | WINNER IT"
"/ขายคอมหลายเครื่อง-โคราช",200,1202,Keep,P3,"Meets current intent; maintain","ขายคอมหลายเครื่อง โคราช รับซื้อคอมจำนวนมาก | WINNER IT"
"/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช",200,1190,Keep,P3,"Meets current intent; maintain","ขายอุปกรณ์ไอทียกสำนักงาน โคราช | WINNER IT"
"/ข้อกำหนดการใช้บริการ",200,120,Improve,P2,"Expand unique helpful content","ข้อกำหนดการใช้บริการ | WINNER IT"
"/คำถามที่พบบ่อย",200,219,Improve,P2,"Expand unique helpful content","คำถามที่พบบ่อย | WINNER IT"
"/ติดต่อ",200,133,Rewrite,P1,"Entity/trust alignment with Ubon HQ brief","ติดต่อเรา | WINNER IT รับซื้อไอทีโคราช"
"/นโยบายความเป็นส่วนตัว",200,130,Improve,P2,"Expand unique helpful content","นโยบายความเป็นส่วนตัว | WINNER IT"
"/นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ",200,161,Improve,P2,"Expand unique helpful content","นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ | WINNER IT"
"/บทความ",200,525,Keep,P3,"Meets current intent; maintain","บทความแนะนำก่อนขายสินค้าไอที | WINNER IT"
"/บทความ/ssd-และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย",200,282,Rewrite,P2,"Thin article; deepen for AEO","SSD และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย | WINNER IT"
"/บทความ/กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่",200,336,Rewrite,P2,"Thin article; deepen for AEO","กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่ | WINNER IT"
"/บทความ/ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร",200,356,Rewrite,P2,"Thin article; deepen for AEO","ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร | WINNER IT"
"/บทความ/ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร",200,328,Rewrite,P2,"Thin article; deepen for AEO","ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร | WINNER IT"
"/บทความ/ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง",200,316,Rewrite,P2,"Thin article; deepen for AEO","ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง | WINNER IT"
"/บทความ/ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน",200,265,Rewrite,P2,"Thin article; deepen for AEO","ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน | WINNER IT"
"/บทความ/วิธีถ่ายรูปสินค้าไอทีเพื่อให้ประเมินราคาได้เร็ว",200,376,Rewrite,P2,"Thin article; deepen for AEO","วิธีถ่ายรูปสินค้าไอทีเพื่อให้ประเมินราคาได้เร็ว | WINNER IT"
"/บทความ/วิธีลบข้อมูลก่อนขายคอมพิวเตอร์",200,414,Keep,P3,"Meets current intent; maintain","วิธีลบข้อมูลก่อนขายคอมพิวเตอร์ | WINNER IT"
"/บทความ/วิธีออกจาก-icloud-ก่อนขาย-iphone-หรือ-ipad",200,406,Keep,P3,"Meets current intent; maintain","วิธีออกจาก iCloud ก่อนขาย iPhone หรือ iPad | WINNER IT"
"/บทความ/วิธีออกจากบัญชี-google-ก่อนขายโทรศัพท์-android",200,326,Rewrite,P2,"Thin article; deepen for AEO","วิธีออกจากบัญชี Google ก่อนขายโทรศัพท์ Android | WINNER IT"
"/บทความ/วิธีเช็กสเปกโน๊ตบุ๊คก่อนส่งประเมิน",200,403,Keep,P3,"Meets current intent; maintain","วิธีเช็กสเปกโน๊ตบุ๊คก่อนส่งประเมิน | WINNER IT"
"/บทความ/สินค้าไอทีเปิดไม่ติดยังประเมินราคาได้อย่างไร",200,316,Rewrite,P2,"Thin article; deepen for AEO","สินค้าไอทีเปิดไม่ติดยังประเมินราคาได้อย่างไร | WINNER IT"
"/บทความ/ส่งโน๊ตบุ๊คหรือโทรศัพท์อย่างไรให้ปลอดภัย",200,345,Rewrite,P2,"Thin article; deepen for AEO","ส่งโน๊ตบุ๊คหรือโทรศัพท์อย่างไรให้ปลอดภัย | WINNER IT"
"/บทความ/เช็กราคาสินค้าไอทีก่อนขายต้องดูอะไรบ้าง",200,639,Keep,P3,"Meets current intent; maintain","เช็กราคาสินค้าไอทีก่อนขายต้องดูอะไรบ้าง | WINNER IT"
"/บทความ/เตรียมโน๊ตบุ๊คก่อนขายอย่างไร",200,483,Keep,P3,"Meets current intent; maintain","เตรียมโน๊ตบุ๊คก่อนขายอย่างไร | WINNER IT"
"/บริการรับซื้อถึงที่โคราช",200,1322,Keep,P3,"Meets current intent; maintain","บริการรับซื้อถึงที่ โคราช นัดรับสินค้าไอที | WINNER IT"
"/บริษัทปิดกิจการขายอุปกรณ์ไอที",200,1200,Keep,P3,"Meets current intent; maintain","บริษัทปิดกิจการขายอุปกรณ์ไอที โคราช | WINNER IT"
"/พื้นที่/ด่านขุนทด",200,371,Improve,P2,"Thin area; add logistics or merge later","รับซื้อไอทีด่านขุนทด อำเภอด่านขุนทด | WINNER IT"
"/พื้นที่/บัวใหญ่",200,375,Improve,P2,"Thin area; add logistics or merge later","รับซื้อไอทีบัวใหญ่ อำเภอบัวใหญ่ | WINNER IT"
"/พื้นที่/ปักธงชัย",200,459,Keep,P3,"Meets current intent; maintain","รับซื้อไอทีปักธงชัย อำเภอปักธงชัย | WINNER IT"
"/พื้นที่/ปากช่อง",200,643,Keep,P3,"Meets current intent; maintain","รับซื้อไอทีปากช่อง อำเภอปากช่อง | WINNER IT"
"/พื้นที่/พิมาย",200,386,Improve,P2,"Thin area; add logistics or merge later","รับซื้อไอทีพิมาย อำเภอพิมาย | WINNER IT"
"/พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี",200,495,Keep,P3,"Meets current intent; maintain","รับซื้อไอที มทส. มหาวิทยาลัยเทคโนโลยีสุรนารี | WINNER IT"
"/พื้นที่/สีคิ้ว",200,516,Keep,P3,"Meets current intent; maintain","รับซื้อไอทีสีคิ้ว อำเภอสีคิ้ว | WINNER IT"
"/พื้นที่/สูงเนิน",200,529,Keep,P3,"Meets current intent; maintain","รับซื้อไอทีสูงเนิน อำเภอสูงเนิน | WINNER IT"
"/พื้นที่/เมืองนครราชสีมา",200,864,Keep,P3,"Meets current intent; maintain","รับซื้อไอทีเมืองนครราชสีมา | WINNER IT"
"/พื้นที่/โชคชัย",200,408,Keep,P3,"Meets current intent; maintain","รับซื้อไอทีโชคชัย อำเภอโชคชัย | WINNER IT"
"/พื้นที่/โนนสูง",200,358,Improve,P2,"Thin area; add logistics or merge later","รับซื้อไอทีโนนสูง อำเภอโนนสูง | WINNER IT"
"/รับซื้อ-apple-watch-โคราช",200,1970,Keep,P3,"Meets current intent; maintain","รับซื้อ Apple Watch โคราช | ประเมินผ่าน LINE นัดรับตามสะดวก | WINNER IT"
"/รับซื้อ-cpu-โคราช",200,1564,Keep,P3,"Meets current intent; maintain","รับซื้อ CPU โคราช ประเมินซีพียู Intel และ AMD มือสอง | WINNER IT"
"/รับซื้อ-imac-mac-mini-โคราช",200,2016,Keep,P3,"Meets current intent; maintain","รับซื้อ iMac และ Mac mini โคราช | ประเมินผ่าน LINE | WINNER IT"
"/รับซื้อ-ipad-โคราช",200,2170,Keep,P3,"Meets current intent; maintain","รับซื้อ iPad โคราช | ประเมินผ่าน LINE นัดรับตามสะดวก | WINNER IT"
"/รับซื้อ-iphone-โคราช",200,2224,Keep,P3,"Meets current intent; maintain","รับซื้อ iPhone โคราช | ประเมินผ่าน LINE นัดรับตามสะดวก | WINNER IT"
"/รับซื้อ-macbook-โคราช",200,2139,Keep,P3,"Meets current intent; maintain","รับซื้อ MacBook โคราช | ประเมินผ่าน LINE นัดรับตามสะดวก | WINNER IT"
"/รับซื้อ-nintendo-switch-โคราช",200,1204,Keep,P3,"Meets current intent; maintain","รับซื้อ Nintendo Switch โคราช ประเมินเครื่องเกมมือสอง | WINNER IT"
"/รับซื้อ-playstation-โคราช",200,1249,Keep,P3,"Meets current intent; maintain","รับซื้อ PlayStation โคราช PS5 PS4 มือสอง | WINNER IT"
"/รับซื้อ-server-network-โคราช",200,1277,Keep,P3,"Meets current intent; maintain","รับซื้อ Server Network โคราช อุปกรณ์เครือข่ายมือสอง | WINNER IT"
"/รับซื้อ-ssd-hdd-โคราช",200,1300,Keep,P3,"Meets current intent; maintain","รับซื้อ SSD HDD โคราช ฮาร์ดดิสก์และ SSD มือสอง | WINNER IT"
"/รับซื้อกล้อง-โคราช",200,1340,Keep,P3,"Meets current intent; maintain","รับซื้อกล้อง โคราช กล้อง DSLR Mirrorless มือสอง | WINNER IT"
"/รับซื้อการ์ดจอ-โคราช",200,1829,Keep,P3,"Meets current intent; maintain","รับซื้อการ์ดจอ โคราช ประเมิน GPU มือสองอย่างเป็นระบบ | WINNER IT"
"/รับซื้อคอมตั้งโต๊ะ-โคราช",200,1870,Keep,P3,"Meets current intent; maintain","รับซื้อคอมตั้งโต๊ะ โคราช | Dell HP Lenovo ประเมินผ่าน LINE | WINNER IT"
