"Source path","Proposed page group","Role","Proposed neutral filename","Alt/caption guidance","Disclosure","Migration gate","Implementation status"
"public/favicon.svg","Manual mapping required","Trust support/decorative","favicon.svg","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
"public/images/og/default-og.png","Manual mapping required","Trust support/decorative","default-og.png","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
"public/images/og/default-og.svg","Manual mapping required","Trust support/decorative","default-og.svg","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
"public/images/trust-inspection.png","Manual mapping required","Trust support/decorative","trust-inspection.png","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
"public/images/trust-inventory.png","Manual mapping required","Trust support/decorative","trust-inventory.png","Describe the visible product/action only; do not imply Korat location, customer case or branch","Not required unless composition materially changes reality","Requires rights confirmation","Plan only; not copied"
"src/assets/images/illustrations/ai/packing/notebook-safe-packing-ai.webp","Process/trust/article section","Process illustration","notebook-safe-packing-ai.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Required: ภาพประกอบที่สร้างด้วย AI","Safe with disclosure","Plan only; not copied"
"src/assets/images/illustrations/ai/people/owner-notebook-inspection-ai.webp","Process/trust/article section","Process illustration","owner-notebook-inspection-ai.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Required: ภาพประกอบที่สร้างด้วย AI","Safe with disclosure","Plan only; not copied"
"src/assets/images/illustrations/ai/people/owner-profile-workspace-ai.webp","Process/trust/article section","Process illustration","owner-profile-workspace-ai.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Required: ภาพประกอบที่สร้างด้วย AI","Safe with disclosure","Plan only; not copied"
"src/assets/images/illustrations/ai/people/owner-team-device-check-ai.webp","Process/trust/article section","Process illustration","owner-team-device-check-ai.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Required: ภาพประกอบที่สร้างด้วย AI","Safe with disclosure","Plan only; not copied"
"src/assets/images/illustrations/ai/process/notebook-exterior-check-ai.webp","Process/trust/article section","Process illustration","notebook-exterior-check-ai.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Required: ภาพประกอบที่สร้างด้วย AI","Safe with disclosure","Plan only; not copied"
"src/assets/images/illustrations/ai/workspace/inspection-workspace-concept-ai.webp","Process/trust/article section","Process illustration","inspection-workspace-concept-ai.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Required: ภาพประกอบที่สร้างด้วย AI","Safe with disclosure","Plan only; not copied"
"src/assets/images/illustrations/ai/workspace/packing-storage-workspace-concept-ai.webp","Process/trust/article section","Process illustration","packing-storage-workspace-concept-ai.webp","Describe the visible product/action only; do not imply Korat location, customer case or branch","Required: ภาพประกอบที่สร้างด้วย AI","Safe with disclosure","Plan only; not copied"
