"Cluster ID","URL","Page type","Parent hub","Primary keyword hypothesis","Secondary keyword hypotheses","Search intent","Funnel stage","Conversion role","Geographic modifier","Product/category modifier","Condition modifier","Existing title","Existing H1","Competing URLs","Cannibalization risk","Current internal links in","Current internal links out","Recommended action","Evidence status","GSC validation required","Priority","Notes"
"CORE-LOCAL","/","Homepage","","รับซื้อสินค้าไอทีโคราช ประเมินเบื้องต้นผ่าน LINE","core local; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","CORE-LOCAL","none","รับซื้อสินค้าไอทีโคราช ประเมินเบื้องต้นผ่าน LINE | WINNER IT","รับซื้อสินค้าไอทีโคราช ประเมินเบื้องต้นผ่าน LINE","","low/unverified","88","69","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P1","No volume, CPC, ranking or traffic estimate asserted"
"B2B","/ขายคอมหลายเครื่อง-โคราช","B2B/bulk","/รับซื้อสินค้าไอทียกล็อต","ขายคอมหลายเครื่อง โคราช","b2b; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","B2B","none","ขายคอมหลายเครื่อง โคราช รับซื้อคอมจำนวนมาก | WINNER IT","ขายคอมหลายเครื่อง โคราช","/รับซื้อคอมบริษัท-โคราช | /รับซื้อสินค้าไอทียกล็อต | /รับซื้ออุปกรณ์สำนักงาน","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"B2B","/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช","B2B/bulk","/รับซื้อสินค้าไอทียกล็อต","ขายอุปกรณ์ไอทียกสำนักงาน โคราช","b2b; transactional","Transactional","Decision","Primary LINE/phone conversion","นครราชสีมา/โคราช","B2B","none","ขายอุปกรณ์ไอทียกสำนักงาน โคราช | WINNER IT","ขายอุปกรณ์ไอทียกสำนักงาน โคราช","/บริษัทปิดกิจการขายอุปกรณ์ไอที | /รับซื้ออุปกรณ์สำนักงาน","candidate","1","21","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"TRUST-POLICY","/ข้อกำหนดการใช้บริการ","Policy","/","ข้อกำหนดการใช้บริการ","trust policy; trust","Trust","Trust","Assisted conversion / trust","none explicit","TRUST-POLICY","none","ข้อกำหนดการใช้บริการ | WINNER IT","ข้อกำหนดการใช้บริการ","","low/unverified","88","21","Retain; validate query ownership before structural action","Source evidence","No","P2","No volume, CPC, ranking or traffic estimate asserted"
"TRUST-FAQ","/คำถามที่พบบ่อย","FAQ","/","คำถามที่พบบ่อย","trust faq; trust","Trust","Trust","Assisted conversion / trust","none explicit","TRUST-FAQ","none","คำถามที่พบบ่อย | WINNER IT","คำถามที่พบบ่อย","","low/unverified","88","21","Retain; validate query ownership before structural action","Source evidence","No","P2","No volume, CPC, ranking or traffic estimate asserted"
"TRUST-CONTACT","/ติดต่อ","Contact","/","ติดต่อ WINNER IT","trust contact; navigation / conversion support","Navigation / conversion support","Decision","Direct conversion","none explicit","TRUST-CONTACT","none","ติดต่อเรา | WINNER IT รับซื้อไอทีโคราช","ติดต่อ WINNER IT","","low/unverified","88","21","Retain; validate query ownership before structural action","Source evidence","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"TRUST-POLICY","/นโยบายความเป็นส่วนตัว","Policy","/","นโยบายความเป็นส่วนตัว","trust policy; trust","Trust","Trust","Assisted conversion / trust","none explicit","TRUST-POLICY","none","นโยบายความเป็นส่วนตัว | WINNER IT","นโยบายความเป็นส่วนตัว","","low/unverified","88","21","Retain; validate query ownership before structural action","Source evidence","No","P2","No volume, CPC, ranking or traffic estimate asserted"
"TRUST-POLICY","/นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ","Policy","/","นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ","trust policy; trust","Trust","Trust","Assisted conversion / trust","none explicit","TRUST-POLICY","none","นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ | WINNER IT","นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ","","low/unverified","88","21","Retain; validate query ownership before structural action","Source evidence","No","P2","No volume, CPC, ranking or traffic estimate asserted"
"CONTENT","/บทความ/ssd-และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย","Article","/บทความ","SSD และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย","content; informational","Informational","Awareness / consideration","Assisted conversion / trust","none explicit","CONTENT","none","SSD และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย | WINNER IT","SSD และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย","/บทความ/ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร | /บทความ/วิธีลบข้อมูลก่อนขายคอมพิวเตอร์","low/unverified","6","24","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
"CONTENT","/บทความ/กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่","Article","/บทความ","กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่","content; informational","Informational","Awareness / consideration","Assisted conversion / trust","none explicit","CONTENT","none","กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่ | WINNER IT","กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่","","low/unverified","6","24","Retain; validate query ownership before structural action","Keyword hypothesis","Yes","P2","No volume, CPC, ranking or traffic estimate asserted"
