"URL","Source file","Page type","Parent hub","Primary keyword hypothesis","Secondary keyword hypotheses","Search intent","Funnel stage","Conversion role","Geographic intent","Product intent","Condition intent","Seller type","HTML title","Meta description","H1","H2","H3","Visible word count","Main-content word count","Answer-first block","Pricing-factor section","Process section","Ownership/account-lock policy","CTA count","LINE CTA","Phone CTA","FAQ count","Contextual internal links in","Contextual internal links out","Related component links","Article-to-service link","Image count","Unique image count","Shared image count","Image disclosure status","Content similarity group","Intent-match score","Content-quality score","AEO readiness","GEO readiness","Manual-review reason","Recommended action"
"/404","src/pages/404.astro","Error recovery","/","ไม่พบหน้านี้","Error recovery; Error recovery; 404","Error recovery","Support","Recovery","Implicit site-wide Korat","none","none","Individual or business","ไม่พบหน้า | WINNER IT","ไม่พบหน้าเว็บที่คุณต้องการ สามารถกลับหน้าแรกหรือติดต่อ LINE @buyhub ได้","ไม่พบหน้านี้","","","28","28","no","no","no","no","9","5","4","0","0","2","0","n/a","0","0","0","not required","Error recovery:/","5","5","Missing","Strong","","Keep as is"
"/","src/pages/index.astro","Homepage","","รับซื้อสินค้าไอทีโคราช ประเมินเบื้องต้นผ่าน LINE","Local transactional; Homepage; รับซื้อไอทีโคราช","Local transactional","Decision","LINE/phone conversion","Korat/Nakhon Ratchasima","none","none","Individual or business","รับซื้อสินค้าไอทีโคราช ประเมินเบื้องต้นผ่าน LINE | WINNER ITอุปกรณ์ไอทีมือสอง","รับซื้อสินค้าไอทีมือสองในนครราชสีมา ประเมินผ่าน LINE @buyhub นัดรับตามคิวและระยะทาง ราคาสุดท้ายยืนยันหลังตรวจของจริง","รับซื้อสินค้าไอทีโคราช ประเมินเบื้องต้นผ่าน LINE","ประเมินผ่าน LINE | บริการในโคราช | โปร่งใสราคา | บุคคลและองค์กร | หมวดบริการที่สอบถามบ่อย | ข้อมูลที่ควรเตรียมก่อนส่งประเมิน | ขั้นตอนการขายแบบย่อ | ประเภทสินค้าที่ส่งมาประเมินได้ | เหมาะกับลูกค้าทั่วไป | ลูกค้าบริษัทและยกล็อต | ปัจจัยที่ใช้ประเมินราคา | พื้นที่บริการในจังหวัดนครราชสีมา | การดูแลข้อมูลส่วนตัวก่อนขาย | การยืนยันเจ้าของและความปลอดภัย | บทความที่เกี่ยวข้อง | ลิงก์บริการเพิ่มเติม | คำถามที่พบบ่อย | เริ่มขายวันนี้ ส่งรูปมาที่ LINE @buyhub","รับซื้อสินค้าไอที | รับซื้อถึงที่โคราช | ส่งสินค้ามาประเมิน | รับซื้อยกล็อต | iPhone | โน๊ตบุ๊ค | ส่งข้อมูลผ่าน LINE | รับประเมินเบื้องต้น | นัดรับหรือจัดส่ง | ยืนยันราคาสุดท้าย | โทรศัพท์มือถือ | คอมพิวเตอร์ | การ์ดจอ | กล้อง | เครื่องเกม | อุปกรณ์สำนักงาน | โน๊ตบุ๊คเสีย / จอแตก | สินค้าไม่ได้ใช้งาน | นักเรียน นักศึกษา | พนักงานออฟฟิศ | ผู้ประกอบการรายย่อย | โชคชัย | ด่านขุนทด | โนนสูง | บัวใหญ่ | ปักธงชัย | ปากช่อง | SSD และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย | กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่ | ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง | ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร | ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร | เช็กราคาสินค้าไอทีก่อนขายต้องดูอะไรบ้าง","1395","1395","yes","yes","yes","yes","12","7","5","6","2","60","50","n/a","0","0","0","not required","Homepage:root","5","5","Strong","Strong","","Keep as is"
"/ขายคอมหลายเครื่อง-โคราช","src/content/services/ขายคอมหลายเครื่อง-โคราช.md","B2B/bulk","/รับซื้อคอมพิวเตอร์-โคราช","ขายคอมหลายเครื่อง โคราช","B2B/bulk transactional; B2B/bulk; ขายคอมหลายเครื่อง-โคราช","B2B/bulk transactional","Decision","LINE/phone conversion","Korat/Nakhon Ratchasima","none","none","Business/organization","ขายคอมหลายเครื่อง โคราช รับซื้อคอมจำนวนมาก | WINNER ITขายคอมหลายเครื่อง โคราช","WINNER IT รับซื้อคอมหลายเครื่องในโคราช ร้านคอม โรงเรียน ส่งรายการประเมิน ผ่าน LINE @buyhub","ขายคอมหลายเครื่อง โคราช","ขายคอมทีละหลายเครื่อง | รูปแบบรายการ | นัดรับ | เครื่องเสียปน | ราคา | โคราช | เอกสาร | เจ้าของ | ติดต่อ | ขั้นตอนการขายกับ WINNER IT ในโคราช | เรื่องราคาและการประเมินเบื้องต้น | พื้นที่ให้บริการในนครราชสีมา | สินค้าที่ไม่รับและข้อจำกัดด้านความปลอดภัย | การยืนยันเจ้าของและความปลอดภัย | คำถามที่พบบ่อย | พร้อมขายแล้ว ส่งรายละเอียดมาได้เลย","","2116","1808","yes","yes","yes","yes","11","6","5","8","1","0","0","n/a","0","0","0","not required","B2B/bulk:/รับซื้อคอมพิวเตอร์-โคราช","5","5","Strong","Strong","","Keep as is"
"/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช","src/content/services/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช.md","B2B/bulk","/รับซื้อสินค้าไอที","ขายอุปกรณ์ไอทียกสำนักงาน โคราช","B2B/bulk transactional; B2B/bulk; ขายอุปกรณ์ไอทียกสำนักงาน-โคราช","B2B/bulk transactional","Decision","LINE/phone conversion","Korat/Nakhon Ratchasima","none","none","Business/organization","ขายอุปกรณ์ไอทียกสำนักงาน โคราช | WINNER ITขายอุปกรณ์ไอทียกสำนักงาน โคราช","WINNER IT รับซื้ออุปกรณ์ไอทียกสำนักงานในโคราช คอม จอ โทรศัพท์ ปริ้น ประเมินยกชุด ผ่าน LINE @buyhub","ขายอุปกรณ์ไอทียกสำนักงาน โคราช","ยกสำนักงานขาย IT | รายการ asset | data wipe | เอกสาร | ขนส่ง | ราคา | โคราช | เจ้าของ | ติดต่อ | ขั้นตอนการขายกับ WINNER IT ในโคราช | เรื่องราคาและการประเมินเบื้องต้น | พื้นที่ให้บริการในนครราชสีมา | สินค้าที่ไม่รับและข้อจำกัดด้านความปลอดภัย | การยืนยันเจ้าของและความปลอดภัย | คำถามที่พบบ่อย | พร้อมขายแล้ว ส่งรายละเอียดมาได้เลย","","2109","1801","no","yes","yes","yes","11","6","5","8","1","0","0","n/a","0","0","0","not required","B2B/bulk:/รับซื้อสินค้าไอที","4","5","Missing","Strong","ไม่พบคำตอบต้นหน้าที่ชัดเจน","Keep as is"
"/ข้อกำหนดการใช้บริการ","src/pages/ข้อกำหนดการใช้บริการ.astro","Policy","/","ข้อกำหนดการใช้บริการ","Policy; Policy; ข้อกำหนดการใช้บริการ","Policy","Trust","Assisted conversion/trust","Korat/Nakhon Ratchasima","none","none","Individual or business","ข้อกำหนดการใช้บริการ | WINNER IT","ข้อกำหนดการใช้บริการเว็บไซต์รับซื้อไอทีโคราช และเงื่อนไขการประเมินสินค้าของ WINNER IT","ข้อกำหนดการใช้บริการ","ขอบเขตบริการ | ราคาและการยืนยัน | ความถูกต้องของข้อมูล | ช่องทางติดต่อ","","137","120","yes","no","yes","yes","11","6","5","0","0","0","0","n/a","0","0","0","not required","Policy:/","5","5","Adequate","Strong","","Keep as is"
"/คำถามที่พบบ่อย","src/pages/คำถามที่พบบ่อย.astro","FAQ","/","คำถามที่พบบ่อย","Trust/navigation; FAQ; คำถามที่พบบ่อย","Trust/navigation","Trust","Assisted conversion/trust","Korat/Nakhon Ratchasima","none","none","Individual or business","คำถามที่พบบ่อย | WINNER IT","รวมคำถามที่พบบ่อยเกี่ยวกับการประเมิน รับซื้อ นัดรับ และจัดส่งสินค้าไอทีในโคราช","คำถามที่พบบ่อย","","","236","219","yes","no","yes","yes","9","5","4","8","0","0","0","n/a","0","0","0","not required","FAQ:/","5","5","Strong","Strong","","Keep as is"
"/ติดต่อ","src/pages/ติดต่อ.astro","Contact","/","ติดต่อ WINNER IT","Trust/navigation; Contact; ติดต่อ","Trust/navigation","Decision","LINE/phone conversion","Korat/Nakhon Ratchasima","none","none","Individual or business","ติดต่อเรา | WINNER IT รับซื้อไอทีโคราช","ติดต่อ WINNER IT เพื่อประเมินสินค้าไอทีในโคราช ผ่าน LINE @buyhub หรือโทร 095-547-9408","ติดต่อ WINNER IT","LINE Official | โทรศัพท์ | พื้นที่ให้บริการ | ข้อมูลที่ควรส่งมา","","146","133","yes","no","yes","no","12","7","5","0","19","0","0","n/a","0","0","0","not required","Contact:/","5","5","Adequate","Strong","","Keep as is"
"/นโยบายความเป็นส่วนตัว","src/pages/นโยบายความเป็นส่วนตัว.astro","Policy","/","นโยบายความเป็นส่วนตัว","Policy; Policy; นโยบายความเป็นส่วนตัว","Policy","Trust","Assisted conversion/trust","Implicit site-wide Korat","none","none","Individual or business","นโยบายความเป็นส่วนตัว | WINNER IT","นโยบายความเป็นส่วนตัวสำหรับการติดต่อและส่งข้อมูลประเมินสินค้าของ WINNER IT","นโยบายความเป็นส่วนตัว","ข้อมูลที่อาจได้รับ | วัตถุประสงค์การใช้ | การเก็บรักษา | ติดต่อเรื่องข้อมูลส่วนบุคคล","","149","130","yes","yes","yes","yes","11","6","5","0","0","0","0","n/a","0","0","0","not required","Policy:/","5","5","Adequate","Strong","","Keep as is"
"/นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ","src/pages/นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ.astro","Policy","/","นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ","Policy; Policy; นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ","Policy","Trust","Assisted conversion/trust","Implicit site-wide Korat","none","none","Individual or business","นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ | WINNER IT","เงื่อนไขการรับซื้อสินค้าไอที การยืนยันเจ้าของ และรายการที่ไม่รับซื้อของ WINNER IT","นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ","หลักการทั่วไป | ไม่รับซื้อสินค้าในกรณีต่อไปนี้ | เอกสารที่อาจขอเพิ่มในบางกรณี | ติดต่อสอบถาม","","182","161","yes","no","yes","yes","11","6","5","0","20","0","0","n/a","0","0","0","not required","Policy:/","5","5","Adequate","Strong","","Keep as is"
"/บทความ/ssd-และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย","src/content/articles/ssd-และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย.md","Article","/บทความ","SSD และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย","Informational; Article; ssd-และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย","Informational","Awareness/consideration","Assisted conversion/trust","Implicit site-wide Korat","none","none","Individual or business","SSD และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย | WINNER IT","คู่มือจัดการ SSD และข้อมูลส่วนตัวก่อนขายคอมหรือโน๊ตบุ๊ค ครอบคลุมการลบข้อมูล ถอด SSD และ Secure Erase","SSD และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย","ทำไม SSD ต้องจัดการพิเศษ | วิธีลบข้อมูลบน SSD | ทางเลือก: ถอด SSD ออก | กรณีเครื่องเปิดไม่ติด | HDD vs SSD | หลังลบข้อมูลแล้ว | สรุป | หน้าที่เกี่ยวข้อง | อ่านต่อ","Windows — Reset with Clean | macOS — Erase | Secure Erase (ขั้นสูง) | วิธีลบข้อมูลก่อนขายคอมพิวเตอร์ | สินค้าไอทีเปิดไม่ติดยังประเมินราคาได้อย่างไร | เตรียมโน๊ตบุ๊คก่อนขายอย่างไร","444","282","no","yes","yes","no","9","5","4","0","5","2","5","yes","0","0","0","not required","Article:/บทความ","4","5","Missing","Strong","ไม่พบคำตอบต้นหน้าที่ชัดเจน","Keep as is"
