"URL","Source file","Page type","Baseline AEO status","Current AEO status","Expected AEO requirement","Answer-first block exists","Direct answer quality","Step list exists","Pricing factors exists","Preparation checklist exists","FAQ exists","Recommended action","Priority","Content change required","Business evidence required","GSC required"
"/404","src/pages/404.astro","Utility/404","Missing","Missing","Not required","No","Not applicable","No","No","No","No","No action; not an AEO defect","No action","No mandatory change","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
"/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช","src/content/services/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช.md","B2B","Missing","Missing","Required","No","Hero lead is too short to answer the transaction fully","Yes","Yes","Yes","Yes (8)","P2: add concise answer-first hero lead in a future reviewed batch","P2","Yes, deferred","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
"/บทความ/ssd-และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย","src/content/articles/ssd-และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย.md","Article","Missing","Missing","Recommended","No","Article answers the topic in-body but lacks a concise opening summary","Yes","Yes","Yes","No","Recommended: add concise article summary when editorially useful","P3/editorial","No mandatory change","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
"/บทความ/กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่","src/content/articles/กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่.md","Article","Missing","Missing","Recommended","No","Article answers the topic in-body but lacks a concise opening summary","Yes","Yes","Yes","No","Recommended: add concise article summary when editorially useful","P3/editorial","No mandatory change","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
"/บทความ/ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร","src/content/articles/ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร.md","Article","Missing","Missing","Recommended","No","Article answers the topic in-body but lacks a concise opening summary","Yes","Yes","Yes","No","Recommended: add concise article summary when editorially useful","P3/editorial","No mandatory change","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
"/บทความ/ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร","src/content/articles/ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร.md","Article","Missing","Missing","Recommended","No","Article answers the topic in-body but lacks a concise opening summary","Yes","No","Yes","No","Recommended: add concise article summary when editorially useful","P3/editorial","No mandatory change","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
"/บทความ/ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง","src/content/articles/ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง.md","Article","Missing","Missing","Recommended","No","Article answers the topic in-body but lacks a concise opening summary","Yes","Yes","Yes","No","Recommended: add concise article summary when editorially useful","P3/editorial","No mandatory change","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
"/บทความ/ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน","src/content/articles/ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน.md","Article","Missing","Missing","Recommended","No","Article answers the topic in-body but lacks a concise opening summary","Yes","Yes","Yes","No","Recommended: add concise article summary when editorially useful","P3/editorial","No mandatory change","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
"/บทความ/วิธีถ่ายรูปสินค้าไอทีเพื่อให้ประเมินราคาได้เร็ว","src/content/articles/วิธีถ่ายรูปสินค้าไอทีเพื่อให้ประเมินราคาได้เร็ว.md","Article","Missing","Missing","Recommended","No","Article answers the topic in-body but lacks a concise opening summary","Yes","Yes","Yes","No","Recommended: add concise article summary when editorially useful","P3/editorial","No mandatory change","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
"/บทความ/วิธีลบข้อมูลก่อนขายคอมพิวเตอร์","src/content/articles/วิธีลบข้อมูลก่อนขายคอมพิวเตอร์.md","Article","Missing","Missing","Recommended","No","Article answers the topic in-body but lacks a concise opening summary","Yes","Yes","Yes","No","Recommended: add concise article summary when editorially useful","P3/editorial","No mandatory change","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
"/บทความ/วิธีออกจาก-icloud-ก่อนขาย-iphone-หรือ-ipad","src/content/articles/วิธีออกจาก-icloud-ก่อนขาย-iphone-หรือ-ipad.md","Article","Missing","Missing","Recommended","No","Article answers the topic in-body but lacks a concise opening summary","Yes","Yes","Yes","No","Recommended: add concise article summary when editorially useful","P3/editorial","No mandatory change","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
"/บทความ/วิธีออกจากบัญชี-google-ก่อนขายโทรศัพท์-android","src/content/articles/วิธีออกจากบัญชี-google-ก่อนขายโทรศัพท์-android.md","Article","Missing","Missing","Recommended","No","Article answers the topic in-body but lacks a concise opening summary","Yes","Yes","Yes","No","Recommended: add concise article summary when editorially useful","P3/editorial","No mandatory change","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
"/บทความ/วิธีเช็กสเปกโน๊ตบุ๊คก่อนส่งประเมิน","src/content/articles/วิธีเช็กสเปกโน๊ตบุ๊คก่อนส่งประเมิน.md","Article","Missing","Missing","Recommended","No","Article answers the topic in-body but lacks a concise opening summary","Yes","Yes","Yes","No","Recommended: add concise article summary when editorially useful","P3/editorial","No mandatory change","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
"/บทความ/สินค้าไอทีเปิดไม่ติดยังประเมินราคาได้อย่างไร","src/content/articles/สินค้าไอทีเปิดไม่ติดยังประเมินราคาได้อย่างไร.md","Article","Missing","Missing","Recommended","No","Article answers the topic in-body but lacks a concise opening summary","Yes","Yes","Yes","No","Recommended: add concise article summary when editorially useful","P3/editorial","No mandatory change","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
"/บทความ/ส่งโน๊ตบุ๊คหรือโทรศัพท์อย่างไรให้ปลอดภัย","src/content/articles/ส่งโน๊ตบุ๊คหรือโทรศัพท์อย่างไรให้ปลอดภัย.md","Article","Missing","Missing","Recommended","No","Article answers the topic in-body but lacks a concise opening summary","Yes","Yes","Yes","No","Recommended: add concise article summary when editorially useful","P3/editorial","No mandatory change","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
"/บทความ/เช็กราคาสินค้าไอทีก่อนขายต้องดูอะไรบ้าง","src/content/articles/เช็กราคาสินค้าไอทีก่อนขายต้องดูอะไรบ้าง.md","Article","Missing","Missing","Recommended","No","Article answers the topic in-body but lacks a concise opening summary","Yes","Yes","Yes","No","Recommended: add concise article summary when editorially useful","P3/editorial","No mandatory change","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
"/บทความ/เตรียมโน๊ตบุ๊คก่อนขายอย่างไร","src/content/articles/เตรียมโน๊ตบุ๊คก่อนขายอย่างไร.md","Article","Missing","Missing","Recommended","No","Article answers the topic in-body but lacks a concise opening summary","Yes","Yes","Yes","No","Recommended: add concise article summary when editorially useful","P3/editorial","No mandatory change","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
"/รับซื้อ-nintendo-switch-โคราช","src/content/services/รับซื้อ-nintendo-switch-โคราช.md","Product category","Missing","Missing","Required","No","Hero lead is too short to answer the transaction fully","Yes","Yes","Yes","Yes (8)","P2: add concise answer-first hero lead in a future reviewed batch","P2","Yes, deferred","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
"/รับซื้อสินค้าไอทียกล็อต","src/content/services/รับซื้อสินค้าไอทียกล็อต.md","B2B","Missing","Strong","Required","Yes","Good: states accepted item, inputs, preliminary valuation, final inspection and LINE path","Yes","Yes","Yes","Yes (8)","Implemented concise answer-first hero lead; preserve URL, H1 and keyword ownership","P2","Implemented","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
"/รับซื้ออุปกรณ์สำนักงาน","src/content/services/รับซื้ออุปกรณ์สำนักงาน.md","Product category","Missing","Missing","Required","No","Hero lead is too short to answer the transaction fully","Yes","Yes","Yes","Yes (8)","P2: add concise answer-first hero lead in a future reviewed batch","P2","Yes, deferred","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
"/รับซื้อเครื่องเกม-โคราช","src/content/services/รับซื้อเครื่องเกม-โคราช.md","Product category","Missing","Missing","Required","No","Hero lead is too short to answer the transaction fully","Yes","Yes","Yes","Yes (8)","P2: add concise answer-first hero lead in a future reviewed batch","P2","Yes, deferred","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
"/รับซื้อโทรศัพท์จอแตก-โคราช","src/content/services/รับซื้อโทรศัพท์จอแตก-โคราช.md","Product condition","Missing","Strong","Required","Yes","Good: states accepted item, inputs, preliminary valuation, final inspection and LINE path","Yes","Yes","Yes","Yes (8)","Implemented concise answer-first hero lead; preserve URL, H1 and keyword ownership","P2","Implemented","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
"/รับซื้อโน๊ตบุ๊คจอแตก-โคราช","src/content/services/รับซื้อโน๊ตบุ๊คจอแตก-โคราช.md","Product condition","Missing","Strong","Required","Yes","Good: states accepted item, inputs, preliminary valuation, final inspection and LINE path","Yes","Yes","Yes","Yes (8)","Implemented concise answer-first hero lead; preserve URL, H1 and keyword ownership","P2","Implemented","No new claim; use existing verified service process only","No for answer-first wording; yes before structural ownership changes"
