"URL","Route source","Page type","Indexability","HTTP expectation","HTML Title","HTML Title Length","OG Title","Meta Description","Meta Description Length","OG Description","H1","H1 Count","Robots","Canonical","Canonical Status","Word count","Internal links in","Internal links out","Global navigation links in","Footer links in","Related component links in","Contextual body links in","Structured data types","Sitemap inclusion","Primary Cluster","Parent Hub","Conversion Role","Similarity Group","Manual Review Reason","Primary intent","Funnel Stage","Thin-content risk","Doorway-page risk","Recommended action"
"/404","src/pages/404.astro","Utility/error page","noindex","404","ไม่พบหน้า | WINNER IT","21","ไม่พบหน้า | WINNER IT","ไม่พบหน้าเว็บที่คุณต้องการ สามารถกลับหน้าแรกหรือติดต่อ LINE @buyhub ได้","71","ไม่พบหน้าเว็บที่คุณต้องการ สามารถกลับหน้าแรกหรือติดต่อ LINE @buyhub ได้","ไม่พบหน้านี้","1","noindex, nofollow","https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/404","self-referencing","28","0","21","0","0","0","0","","no","UTILITY","/","Error recovery / support","UTILITY:Utility/error page","","Navigation / error recovery","Support","low","low","retain noindex; exclude from sitemap"
"/","src/pages/index.astro","Homepage","indexable","200","รับซื้อสินค้าไอทีโคราช ประเมินเบื้องต้นผ่าน LINE | WINNER IT","60","รับซื้อสินค้าไอทีโคราช ประเมินเบื้องต้นผ่าน LINE | WINNER IT","รับซื้อสินค้าไอทีมือสองในนครราชสีมา ประเมินผ่าน LINE @buyhub นัดรับตามคิวและระยะทาง ราคาสุดท้ายยืนยันหลังตรวจของจริง","116","รับซื้อสินค้าไอทีมือสองในนครราชสีมา ประเมินผ่าน LINE @buyhub นัดรับตามคิวและระยะทาง ราคาสุดท้ายยืนยันหลังตรวจของจริง","รับซื้อสินค้าไอทีโคราช ประเมินเบื้องต้นผ่าน LINE","1","index, follow","https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com","self-referencing","1395","88","69","88","0","0","0","Organization|WebSite|WebPage|FAQPage","yes","CORE-LOCAL","","Primary LINE/phone conversion","CORE-LOCAL:Homepage","","Transactional","Decision","low","low","retain; validate with GSC"
"/ขายคอมหลายเครื่อง-โคราช","src/content/services/ขายคอมหลายเครื่อง-โคราช.md","B2B/bulk","indexable","200","ขายคอมหลายเครื่อง โคราช รับซื้อคอมจำนวนมาก | WINNER IT","54","ขายคอมหลายเครื่อง โคราช รับซื้อคอมจำนวนมาก | WINNER IT","WINNER IT รับซื้อคอมหลายเครื่องในโคราช ร้านคอม โรงเรียน ส่งรายการประเมิน ผ่าน LINE @buyhub","90","WINNER IT รับซื้อคอมหลายเครื่องในโคราช ร้านคอม โรงเรียน ส่งรายการประเมิน ผ่าน LINE @buyhub","ขายคอมหลายเครื่อง โคราช","1","index, follow","https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/ขายคอมหลายเครื่อง-โคราช","self-referencing","1808","1","21","0","0","0","0","Organization|WebSite|WebPage|Service|BreadcrumbList|FAQPage","yes","B2B","/รับซื้อสินค้าไอทียกล็อต","Primary LINE/phone conversion","B2B:B2B/bulk","","Transactional","Decision","low","low","retain; validate with GSC"
"/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช","src/content/services/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช.md","B2B/bulk","indexable","200","ขายอุปกรณ์ไอทียกสำนักงาน โคราช | WINNER IT","42","ขายอุปกรณ์ไอทียกสำนักงาน โคราช | WINNER IT","WINNER IT รับซื้ออุปกรณ์ไอทียกสำนักงานในโคราช คอม จอ โทรศัพท์ ปริ้น ประเมินยกชุด ผ่าน LINE @buyhub","98","WINNER IT รับซื้ออุปกรณ์ไอทียกสำนักงานในโคราช คอม จอ โทรศัพท์ ปริ้น ประเมินยกชุด ผ่าน LINE @buyhub","ขายอุปกรณ์ไอทียกสำนักงาน โคราช","1","index, follow","https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช","self-referencing","1801","1","21","0","0","0","0","Organization|WebSite|WebPage|Service|BreadcrumbList|FAQPage","yes","B2B","/รับซื้อสินค้าไอทียกล็อต","Primary LINE/phone conversion","B2B:B2B/bulk","","Transactional","Decision","low","low","retain; validate with GSC"
"/ข้อกำหนดการใช้บริการ","src/pages/ข้อกำหนดการใช้บริการ.astro","Policy","indexable","200","ข้อกำหนดการใช้บริการ | WINNER IT","32","ข้อกำหนดการใช้บริการ | WINNER IT","ข้อกำหนดการใช้บริการเว็บไซต์รับซื้อไอทีโคราช และเงื่อนไขการประเมินสินค้าของ WINNER IT","85","ข้อกำหนดการใช้บริการเว็บไซต์รับซื้อไอทีโคราช และเงื่อนไขการประเมินสินค้าของ WINNER IT","ข้อกำหนดการใช้บริการ","1","index, follow","https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/ข้อกำหนดการใช้บริการ","self-referencing","120","88","21","0","88","0","0","Organization|WebSite|WebPage|BreadcrumbList","yes","TRUST-POLICY","/","Assisted conversion / trust","TRUST-POLICY:Policy","","Trust","Trust","low","low","retain; validate with GSC"
"/คำถามที่พบบ่อย","src/pages/คำถามที่พบบ่อย.astro","FAQ","indexable","200","คำถามที่พบบ่อย | WINNER IT","26","คำถามที่พบบ่อย | WINNER IT","รวมคำถามที่พบบ่อยเกี่ยวกับการประเมิน รับซื้อ นัดรับ และจัดส่งสินค้าไอทีในโคราช","78","รวมคำถามที่พบบ่อยเกี่ยวกับการประเมิน รับซื้อ นัดรับ และจัดส่งสินค้าไอทีในโคราช","คำถามที่พบบ่อย","1","index, follow","https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/คำถามที่พบบ่อย","self-referencing","219","88","21","0","0","0","0","Organization|WebSite|WebPage|BreadcrumbList|FAQPage","yes","TRUST-FAQ","/","Assisted conversion / trust","TRUST-FAQ:FAQ","","Trust","Trust","review","low","retain; validate with GSC"
"/ติดต่อ","src/pages/ติดต่อ.astro","Contact","indexable","200","ติดต่อเรา | WINNER IT รับซื้อไอทีโคราช","38","ติดต่อเรา | WINNER IT รับซื้อไอทีโคราช","ติดต่อ WINNER IT เพื่อประเมินสินค้าไอทีในโคราช ผ่าน LINE @buyhub หรือโทร 095-547-9408","85","ติดต่อ WINNER IT เพื่อประเมินสินค้าไอทีในโคราช ผ่าน LINE @buyhub หรือโทร 095-547-9408","ติดต่อ WINNER IT","1","index, follow","https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/ติดต่อ","self-referencing","133","88","21","88","88","0","19","Organization|WebSite|ContactPage|BreadcrumbList","yes","TRUST-CONTACT","/","Direct conversion","TRUST-CONTACT:Contact","","Navigation / conversion support","Decision","low","low","retain; validate with GSC"
"/นโยบายความเป็นส่วนตัว","src/pages/นโยบายความเป็นส่วนตัว.astro","Policy","indexable","200","นโยบายความเป็นส่วนตัว | WINNER IT","33","นโยบายความเป็นส่วนตัว | WINNER IT","นโยบายความเป็นส่วนตัวสำหรับการติดต่อและส่งข้อมูลประเมินสินค้าของ WINNER IT","74","นโยบายความเป็นส่วนตัวสำหรับการติดต่อและส่งข้อมูลประเมินสินค้าของ WINNER IT","นโยบายความเป็นส่วนตัว","1","index, follow","https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/นโยบายความเป็นส่วนตัว","self-referencing","130","88","21","0","88","0","0","Organization|WebSite|WebPage|BreadcrumbList","yes","TRUST-POLICY","/","Assisted conversion / trust","TRUST-POLICY:Policy","","Trust","Trust","low","low","retain; validate with GSC"
"/นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ","src/pages/นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ.astro","Policy","indexable","200","นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ | WINNER IT","50","นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ | WINNER IT","เงื่อนไขการรับซื้อสินค้าไอที การยืนยันเจ้าของ และรายการที่ไม่รับซื้อของ WINNER IT","81","เงื่อนไขการรับซื้อสินค้าไอที การยืนยันเจ้าของ และรายการที่ไม่รับซื้อของ WINNER IT","นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ","1","index, follow","https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ","self-referencing","161","88","21","0","88","0","19","Organization|WebSite|WebPage|BreadcrumbList","yes","TRUST-POLICY","/","Assisted conversion / trust","TRUST-POLICY:Policy","","Trust","Trust","low","low","retain; validate with GSC"
"/บทความ/ssd-และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย","src/content/articles/ssd-และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย.md","Article","indexable","200","SSD และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย | WINNER IT","55","SSD และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย | WINNER IT","คู่มือจัดการ SSD และข้อมูลส่วนตัวก่อนขายคอมหรือโน๊ตบุ๊ค ครอบคลุมการลบข้อมูล ถอด SSD และ Secure Erase","100","คู่มือจัดการ SSD และข้อมูลส่วนตัวก่อนขายคอมหรือโน๊ตบุ๊ค ครอบคลุมการลบข้อมูล ถอด SSD และ Secure Erase","SSD และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย","1","index, follow","https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/บทความ/ssd-และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย","self-referencing","282","6","24","0","0","3","3","Organization|WebSite|WebPage|Article|BreadcrumbList","yes","CONTENT","/บทความ","Assisted conversion / trust","CONTENT:Article","","Informational","Awareness / consideration","review","low","retain; validate with GSC"
"/บทความ/กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่","src/content/articles/กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่.md","Article","indexable","200","กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่ | WINNER IT","51","กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่ | WINNER IT","กล่อง สายชาร์จ หูฟัง และอุปกรณ์แถมมีผลต่อราคามือสองอย่างไร ข้อมูลที่ควรแจ้งเมื่อส่งประเมิน","90","กล่อง สายชาร์จ หูฟัง และอุปกรณ์แถมมีผลต่อราคามือสองอย่างไร ข้อมูลที่ควรแจ้งเมื่อส่งประเมิน","กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่","1","index, follow","https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/บทความ/กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่","self-referencing","336","6","24","0","0","4","3","Organization|WebSite|WebPage|Article|BreadcrumbList","yes","CONTENT","/บทความ","Assisted conversion / trust","CONTENT:Article","","Informational","Awareness / consideration","low","low","retain; validate with GSC"
"/บทความ/ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร","src/content/articles/ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร.md","Article","indexable","200","ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร | WINNER IT","51","ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร | WINNER IT","คู่มือเตรียมรายการคอมพิวเตอร์หลายเครื่องก่อนขาย ครอบคลุมการจัดทำรายการ ลบข้อมูล เอกสารบริษัท และการประเมินยกล็อต","112","คู่มือเตรียมรายการคอมพิวเตอร์หลายเครื่องก่อนขาย ครอบคลุมการจัดทำรายการ ลบข้อมูล เอกสารบริษัท และการประเมินยกล็อต","ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร","1","index, follow","https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/บทความ/ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร","self-referencing","356","6","24","0","0","2","4","Organization|WebSite|WebPage|Article|BreadcrumbList","yes","CONTENT","/บทความ","Assisted conversion / trust","CONTENT:Article","","Informational","Awareness / consideration","low","low","retain; validate with GSC"
"/บทความ/ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร","src/content/articles/ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร.md","Article","indexable","200","ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร | WINNER IT","55","ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร | WINNER IT","เอกสารที่ต้องเตรียมเมื่อขายอุปกรณ์ไอทีของบริษัท ครอบคลุมหนังสืออนุมัติ การลบข้อมูล และขั้นตอนประเมินยกล็อต","106","เอกสารที่ต้องเตรียมเมื่อขายอุปกรณ์ไอทีของบริษัท ครอบคลุมหนังสืออนุมัติ การลบข้อมูล และขั้นตอนประเมินยกล็อต","ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร","1","index, follow","https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/บทความ/ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร","self-referencing","328","4","24","0","0","1","2","Organization|WebSite|WebPage|Article|BreadcrumbList","yes","CONTENT","/บทความ","Assisted conversion / trust","CONTENT:Article","","Informational","Awareness / consideration","low","low","retain; validate with GSC"
"/บทความ/ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง","src/content/articles/ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง.md","Article","indexable","200","ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง | WINNER IT","47","ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง | WINNER IT","ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง ครอบคลุมการเช็กสภาพ จำนวนชัตเตอร์ ลบข้อมูล และวิธีส่งประเมิน","96","ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง ครอบคลุมการเช็กสภาพ จำนวนชัตเตอร์ ลบข้อมูล และวิธีส่งประเมิน","ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง","1","index, follow","https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/บทความ/ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง","self-referencing","316","4","24","0","0","0","2","Organization|WebSite|WebPage|Article|BreadcrumbList","yes","CONTENT","/บทความ","Assisted conversion / trust","CONTENT:Article","","Informational","Awareness / consideration","low","low","retain; validate with GSC"
"/บทความ/ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน","src/content/articles/ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน.md","Article","indexable","200","ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน | WINNER IT","53","ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน | WINNER IT","ปัจจัยที่มีผลต่อราคาการ์ดจอมือสอง ครอบคลุมรุ่น สภาพ การใช้งาน майнинг กล่อง และวิธีส่งประเมิน","93","ปัจจัยที่มีผลต่อราคาการ์ดจอมือสอง ครอบคลุมรุ่น สภาพ การใช้งาน майнинг กล่อง และวิธีส่งประเมิน","ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน","1","index, follow","https://xn--42cmb2cn7ce1fa0bs7aw2n0a2f.com/บทความ/ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน","self-referencing","265","2","24","0","0","0","1","Organization|WebSite|WebPage|Article|BreadcrumbList","yes","CONTENT","/บทความ","Assisted conversion / trust","CONTENT:Article","","Informational","Awareness / consideration","review","low","retain; validate with GSC"
