"Source path","SHA-256","Category","Real/AI","Location risk","Privacy risk","Serial/plate/document risk","Exact duplicate count","Decision","Required edit","Disclosure","Evidence"
"docs/audits/screenshots/batch-2-1/404-mobile-390-after.png","c80ffef9f6e622c1535dbc01aca91bf0afcbc97603bd1288e8bef818abd07d95","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-2-1/homepage-desktop-1440-after.png","970a23a0f0d5bb761cc1482356b048c748a9a10cc346c949f6b6cb836a916f57","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-2-1/homepage-mobile-360-after.png","ff5218f77a7a1272f1c1fc6e6c2cb8508c5b561f0bca4cd814e6809bd68fa162","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-2-1/homepage-mobile-390-after.png","9fbe96c53a2d4cb0547babd882e03330a4d870c1e39a799a7ecd29a3ab36ff4b","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-2-1/homepage-tablet-768-after.png","3074061b77243197f614869fe7a9727ee3a9c8da2a243a606b55f8f18364cc40","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-2-1/local-mobile-390-after.png","244c5048c671ce88dd4e3175cb7a4ff570314b18ff03adc9f88af75721602e96","QA/documentation","Screenshot","yes","not detected","not detected","2","Do not reuse","Do not migrate; use verified Korat evidence or generic service imagery","Not required unless composition materially changes reality","Location-sensitive Khon Kaen or local-page context can mislead on the Korat site"
"docs/audits/screenshots/batch-2-1/notebook-mobile-390-after.png","a406ffabffbf88b0ecd3c7f5063798648fe22038b1ced381cac2462b3e02dc33","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-2/after/404-mobile-390-after.png","f526d3712dc3d7e52b430b99028dcb13f3651a27e6d3ef735107c6e8d9857ca5","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-2/after/homepage-desktop-1440-after.png","736ca2ed2fc84a80f6e8b0e917dbe5cda77b7f6b4f769171a0e2aeaf43ae5866","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-2/after/homepage-mobile-390-after.png","0f600df0629aaa771626d62229c66e36ab428c0a225de5fecc1e7b1479cc01b0","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-2/after/local-home-pet-mobile-390-after.png","7cdfd960fbc5f9ab5f288a0274db838dd5a9f8310b8f5e12014c578d8cef2bb9","QA/documentation","Screenshot","yes","not detected","not detected","2","Do not reuse","Do not migrate; use verified Korat evidence or generic service imagery","Not required unless composition materially changes reality","Location-sensitive Khon Kaen or local-page context can mislead on the Korat site"
"docs/audits/screenshots/batch-2/after/notebook-mobile-390-after.png","a062ee0176878d9533b30c3eb1080f1f56e1b5108476f5aa739c26f5dd25d038","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-2/before/404-mobile-390-before.png","f526d3712dc3d7e52b430b99028dcb13f3651a27e6d3ef735107c6e8d9857ca5","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-2/before/homepage-desktop-1440-before.png","8b97766553b7729612c0d62679cdf791c69f6d07796a49ef048fa38aea9c625d","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-2/before/homepage-mobile-390-before.png","0f600df0629aaa771626d62229c66e36ab428c0a225de5fecc1e7b1479cc01b0","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-2/before/local-home-pet-mobile-390-before.png","7cdfd960fbc5f9ab5f288a0274db838dd5a9f8310b8f5e12014c578d8cef2bb9","QA/documentation","Screenshot","yes","not detected","not detected","2","Do not reuse","Do not migrate; use verified Korat evidence or generic service imagery","Not required unless composition materially changes reality","Location-sensitive Khon Kaen or local-page context can mislead on the Korat site"
"docs/audits/screenshots/batch-2/before/notebook-mobile-390-before.png","a062ee0176878d9533b30c3eb1080f1f56e1b5108476f5aa739c26f5dd25d038","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/404-1024-after.png","c29ba7266b5fde299aae57e348a411375774440c187c97eabc29d3aa6a260228","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/404-1440-after.png","5139cc516bfa967bdc827d7b2d3257844d386ce9d406eff74be91711a44271f8","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/404-1920-after.png","a03949e0e2a623082a0364043aef090e4965b03d1feecc6cae8fcd8ccfde10ca","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/404-360-after.png","0a968f36859eb4ceb99ed37c130552d0bf0bd1ed38fc65bf728ccdf3af86cb1d","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/404-390-after.png","c1ad48dd68b127d5fb875e695d01b96eda40846bbc0e031f08b921a24962d35d","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/404-430-after.png","82877dd285337fbc8dbc566b4aa7288af0a67defc65be0d8f84cca7e4a8fb751","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/404-768-after.png","35debae4834eadc8e7480d146a3bd5a9f04b63f5f91bb9175720d64d8c5bdf81","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/blog-article-1024-after.png","0b09b18295bc5b1e45fc3371621d948f68d2a23fef205595bfa7d471b242d279","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/blog-article-1440-after.png","29a4e902a2f7d792c64a3112607d86b890670155f79d85cbd31b1f7d02027371","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/blog-article-1920-after.png","1104ecd8f07f3cb2257f83232b2746977b804649c2f1ddd4c9c971b9afb31767","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/blog-article-360-after.png","efb06f04f3eaa31432fc0dab9f0163c7b6128c17f547f9ba4473a74f097ae981","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/blog-article-390-after.png","c3f3a6eb1ae7b489d650def7b703fcd759c4580f49503f7ff4b84064468bae15","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/blog-article-430-after.png","cde343598c729cd5a8fced5d66dce603d25b470b360939871e679f48cc6a3086","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/blog-article-768-after.png","6b87bb7b000157e44ac09399ca948dfa622dc9264929b7b240b45e3a130024ba","QA/documentation","Screenshot","not detected","not detected","not detected","2","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/blog-article-other-1024-after.png","cb8799dfc97d96e64a779fe917654591d2b9f7ffecfa690bcf0b39e9bf428d44","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/blog-article-other-1440-after.png","3291c786640b67ee22d390ba50f2a65d3a7a6b6123a10026af36d7f99bdefbf7","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/blog-article-other-1920-after.png","35d299b8aff5a5101ebd2950713186f985d71bcd4a2a44b7c193b458f98fa5ec","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/blog-article-other-360-after.png","dea2443dee4290cfbc1dd90682d199d2becd575e13495ff5fc2ab41967a62e74","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/blog-article-other-390-after.png","bcc548229468e305b2d38396dcdaa896dc4da910ba58c13a08ebedbb9dc249d9","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/blog-article-other-430-after.png","f0fb8558e19ba05d5e69096fdcebd529ded2df7aa3ca1f0d3f3411d992fd95da","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/blog-article-other-768-after.png","2c804c2e5ebe833ed5a5b8dca4bf2d701ebbba093f163c9b32e82ab6bd212f7f","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/blog-index-1024-after.png","7b3cb556e89e106c069ac0b84a47b7cecf27e94530fcade614ab4710dd788c59","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/blog-index-1440-after.png","5c9a8273d08d8abfb0dccfdff3a2ef6b8a4743b26dacab2247e8cd5d5584e7a9","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/blog-index-1920-after.png","ba460d3e39cfa8719ac48708188dc38722936d5cc4122851c27c38f4474990fa","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/blog-index-360-after.png","d9733a477bc11402c2081de61684d5db3b5d333ccdb39bde96444f5b987b75af","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
"docs/audits/screenshots/batch-5-1/after/blog-index-390-after.png","e56ee5f2144c3ee1c5f8d0100d98c0f90ba1a3bc17d6d0c3094b77d47b72503e","QA/documentation","Screenshot","not detected","not detected","not detected","1","Unnecessary asset","Do not migrate","Not required unless composition materially changes reality","QA/documentation screenshot, not a reusable content image"
