"URL","Location","Word count","Unique text percentage","Highest similarity page","Similarity score","Unique logistics section","Unique travel guidance","Unique seller context","Unique FAQ count","Internal links in","Contextual internal links in","Doorway risk","Recommended action","Requires GSC"
"/พื้นที่/ด่านขุนทด","รับซื้อไอทีอำเภอด่านขุนทด","371","1.2%","/พื้นที่/โนนสูง","0.844","present","present","present","3","1","0","medium candidate","Retain pending GSC; improve only from verified local operations/customer evidence","Yes"
"/พื้นที่/บัวใหญ่","รับซื้อไอทีอำเภอบัวใหญ่","375","1.3%","/พื้นที่/สีคิ้ว","0.803","present","present","present","3","1","0","medium candidate","Retain pending GSC; improve only from verified local operations/customer evidence","Yes"
"/พื้นที่/ปักธงชัย","รับซื้อไอทีอำเภอปักธงชัย","459","13.7%","/พื้นที่/พิมาย","0.76","present","present","present","5","1","0","medium candidate","Retain pending GSC; improve only from verified local operations/customer evidence","Yes"
"/พื้นที่/ปากช่อง","รับซื้อไอทีอำเภอปากช่อง","643","12.9%","/พื้นที่/สูงเนิน","0.677","present","present","present","7","1","0","medium candidate","Retain pending GSC; improve only from verified local operations/customer evidence","Yes"
"/พื้นที่/พิมาย","รับซื้อไอทีอำเภอพิมาย","386","4.7%","/พื้นที่/ปักธงชัย","0.76","present","present","present","4","1","0","medium candidate","Retain pending GSC; improve only from verified local operations/customer evidence","Yes"
"/พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี","รับซื้อไอที มทส. มหาวิทยาลัยเทคโนโลยีสุรนารี","495","11.3%","/พื้นที่/สูงเนิน","0.707","present","present","present","5","1","0","medium candidate","Retain pending GSC; improve only from verified local operations/customer evidence","Yes"
"/พื้นที่/สีคิ้ว","รับซื้อไอทีอำเภอสีคิ้ว","516","9.3%","/พื้นที่/บัวใหญ่","0.803","present","present","present","5","1","0","medium candidate","Retain pending GSC; improve only from verified local operations/customer evidence","Yes"
"/พื้นที่/สูงเนิน","รับซื้อไอทีอำเภอสูงเนิน","529","8%","/พื้นที่/โนนสูง","0.753","present","present","present","5","1","0","medium candidate","Retain pending GSC; improve only from verified local operations/customer evidence","Yes"
"/พื้นที่/เมืองนครราชสีมา","รับซื้อไอทีเขตเมืองนครราชสีมา","864","24.3%","/พื้นที่/สูงเนิน","0.647","present","present","present","7","88","20","low","Retain pending GSC; improve only from verified local operations/customer evidence","Yes"
"/พื้นที่/โชคชัย","รับซื้อไอทีอำเภอโชคชัย","408","7.1%","/พื้นที่/ด่านขุนทด","0.738","present","present","present","3","1","0","medium candidate","Retain pending GSC; improve only from verified local operations/customer evidence","Yes"
"/พื้นที่/โนนสูง","รับซื้อไอทีอำเภอโนนสูง","358","1.9%","/พื้นที่/ด่านขุนทด","0.844","present","present","present","4","1","0","medium candidate","Retain pending GSC; improve only from verified local operations/customer evidence","Yes"
