"URL","Source file","Page type","Main words","Product-specific factors","Process","Ownership/account lock","Template-heavy risk","Content-quality score","Evidence","Recommendation","Priority"
"/404","src/pages/404.astro","Error recovery","28","not detected","not detected","not detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/","src/pages/index.astro","Homepage","1395","detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/ขายคอมหลายเครื่อง-โคราช","src/content/services/ขายคอมหลายเครื่อง-โคราช.md","B2B/bulk","1808","detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช","src/content/services/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช.md","B2B/bulk","1801","detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/ข้อกำหนดการใช้บริการ","src/pages/ข้อกำหนดการใช้บริการ.astro","Policy","120","not detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/คำถามที่พบบ่อย","src/pages/คำถามที่พบบ่อย.astro","FAQ","219","not detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/ติดต่อ","src/pages/ติดต่อ.astro","Contact","133","not detected","detected","not detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/นโยบายความเป็นส่วนตัว","src/pages/นโยบายความเป็นส่วนตัว.astro","Policy","130","detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ","src/pages/นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ.astro","Policy","161","not detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/บทความ/ssd-และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย","src/content/articles/ssd-และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย.md","Article","282","detected","detected","not detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/บทความ/กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่","src/content/articles/กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่.md","Article","336","detected","detected","not detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/บทความ/ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร","src/content/articles/ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร.md","Article","356","detected","detected","not detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/บทความ/ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร","src/content/articles/ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร.md","Article","328","not detected","detected","not detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/บทความ/ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง","src/content/articles/ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง.md","Article","316","detected","detected","not detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/บทความ/ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน","src/content/articles/ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน.md","Article","265","detected","detected","not detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/บทความ/วิธีถ่ายรูปสินค้าไอทีเพื่อให้ประเมินราคาได้เร็ว","src/content/articles/วิธีถ่ายรูปสินค้าไอทีเพื่อให้ประเมินราคาได้เร็ว.md","Article","376","detected","detected","not detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/บทความ/วิธีลบข้อมูลก่อนขายคอมพิวเตอร์","src/content/articles/วิธีลบข้อมูลก่อนขายคอมพิวเตอร์.md","Article","414","not detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/บทความ/วิธีออกจาก-icloud-ก่อนขาย-iphone-หรือ-ipad","src/content/articles/วิธีออกจาก-icloud-ก่อนขาย-iphone-หรือ-ipad.md","Article","406","not detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/บทความ/วิธีออกจากบัญชี-google-ก่อนขายโทรศัพท์-android","src/content/articles/วิธีออกจากบัญชี-google-ก่อนขายโทรศัพท์-android.md","Article","326","not detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/บทความ/วิธีเช็กสเปกโน๊ตบุ๊คก่อนส่งประเมิน","src/content/articles/วิธีเช็กสเปกโน๊ตบุ๊คก่อนส่งประเมิน.md","Article","403","detected","detected","not detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/บทความ/สินค้าไอทีเปิดไม่ติดยังประเมินราคาได้อย่างไร","src/content/articles/สินค้าไอทีเปิดไม่ติดยังประเมินราคาได้อย่างไร.md","Article","316","detected","detected","not detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/บทความ/ส่งโน๊ตบุ๊คหรือโทรศัพท์อย่างไรให้ปลอดภัย","src/content/articles/ส่งโน๊ตบุ๊คหรือโทรศัพท์อย่างไรให้ปลอดภัย.md","Article","345","not detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/บทความ/เช็กราคาสินค้าไอทีก่อนขายต้องดูอะไรบ้าง","src/content/articles/เช็กราคาสินค้าไอทีก่อนขายต้องดูอะไรบ้าง.md","Article","639","detected","detected","not detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/บทความ/เตรียมโน๊ตบุ๊คก่อนขายอย่างไร","src/content/articles/เตรียมโน๊ตบุ๊คก่อนขายอย่างไร.md","Article","483","detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/บทความ","src/pages/บทความ/index.astro","Article hub","525","detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/บริการรับซื้อถึงที่โคราช","src/content/services/บริการรับซื้อถึงที่โคราช.md","Seller journey","1860","detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/บริษัทปิดกิจการขายอุปกรณ์ไอที","src/content/services/บริษัทปิดกิจการขายอุปกรณ์ไอที.md","B2B/bulk","1811","detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/พื้นที่/ด่านขุนทด","src/content/areas/ด่านขุนทด.md","Location","371","not detected","detected","detected","high","3","เนื้อหา location ใช้โครงร่วมสูงและยังไม่มีหลักฐานการปฏิบัติงานเฉพาะพื้นที่","Requires GSC; เพิ่มเฉพาะหลักฐานโลจิสติกส์จริงหลังธุรกิจยืนยัน","P2"
"/พื้นที่/บัวใหญ่","src/content/areas/บัวใหญ่.md","Location","375","not detected","detected","not detected","high","3","เนื้อหา location ใช้โครงร่วมสูงและยังไม่มีหลักฐานการปฏิบัติงานเฉพาะพื้นที่","Requires GSC; เพิ่มเฉพาะหลักฐานโลจิสติกส์จริงหลังธุรกิจยืนยัน","P2"
"/พื้นที่/ปักธงชัย","src/content/areas/ปักธงชัย.md","Location","459","not detected","detected","not detected","high","3","เนื้อหา location ใช้โครงร่วมสูงและยังไม่มีหลักฐานการปฏิบัติงานเฉพาะพื้นที่","Requires GSC; เพิ่มเฉพาะหลักฐานโลจิสติกส์จริงหลังธุรกิจยืนยัน","P2"
"/พื้นที่/ปากช่อง","src/content/areas/ปากช่อง.md","Location","643","not detected","detected","detected","high","3","เนื้อหา location ใช้โครงร่วมสูงและยังไม่มีหลักฐานการปฏิบัติงานเฉพาะพื้นที่","Requires GSC; เพิ่มเฉพาะหลักฐานโลจิสติกส์จริงหลังธุรกิจยืนยัน","P2"
"/พื้นที่/พิมาย","src/content/areas/พิมาย.md","Location","386","not detected","detected","not detected","high","3","เนื้อหา location ใช้โครงร่วมสูงและยังไม่มีหลักฐานการปฏิบัติงานเฉพาะพื้นที่","Requires GSC; เพิ่มเฉพาะหลักฐานโลจิสติกส์จริงหลังธุรกิจยืนยัน","P2"
"/พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี","src/content/areas/มหาวิทยาลัยเทคโนโลยีสุรนารี.md","Location","495","not detected","detected","detected","high","3","เนื้อหา location ใช้โครงร่วมสูงและยังไม่มีหลักฐานการปฏิบัติงานเฉพาะพื้นที่","Requires GSC; เพิ่มเฉพาะหลักฐานโลจิสติกส์จริงหลังธุรกิจยืนยัน","P2"
"/พื้นที่/สีคิ้ว","src/content/areas/สีคิ้ว.md","Location","516","not detected","detected","not detected","high","3","เนื้อหา location ใช้โครงร่วมสูงและยังไม่มีหลักฐานการปฏิบัติงานเฉพาะพื้นที่","Requires GSC; เพิ่มเฉพาะหลักฐานโลจิสติกส์จริงหลังธุรกิจยืนยัน","P2"
"/พื้นที่/สูงเนิน","src/content/areas/สูงเนิน.md","Location","529","not detected","detected","detected","high","3","เนื้อหา location ใช้โครงร่วมสูงและยังไม่มีหลักฐานการปฏิบัติงานเฉพาะพื้นที่","Requires GSC; เพิ่มเฉพาะหลักฐานโลจิสติกส์จริงหลังธุรกิจยืนยัน","P2"
"/พื้นที่/เมืองนครราชสีมา","src/content/areas/เมืองนครราชสีมา.md","Location","864","not detected","detected","detected","high","3","เนื้อหา location ใช้โครงร่วมสูงและยังไม่มีหลักฐานการปฏิบัติงานเฉพาะพื้นที่","Requires GSC; เพิ่มเฉพาะหลักฐานโลจิสติกส์จริงหลังธุรกิจยืนยัน","P2"
"/พื้นที่/โชคชัย","src/content/areas/โชคชัย.md","Location","408","not detected","detected","not detected","high","3","เนื้อหา location ใช้โครงร่วมสูงและยังไม่มีหลักฐานการปฏิบัติงานเฉพาะพื้นที่","Requires GSC; เพิ่มเฉพาะหลักฐานโลจิสติกส์จริงหลังธุรกิจยืนยัน","P2"
"/พื้นที่/โนนสูง","src/content/areas/โนนสูง.md","Location","358","not detected","detected","detected","high","3","เนื้อหา location ใช้โครงร่วมสูงและยังไม่มีหลักฐานการปฏิบัติงานเฉพาะพื้นที่","Requires GSC; เพิ่มเฉพาะหลักฐานโลจิสติกส์จริงหลังธุรกิจยืนยัน","P2"
"/รับซื้อ-apple-watch-โคราช","src/content/services/รับซื้อ-apple-watch-โคราช.md","Product service","1988","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อ-cpu-โคราช","src/content/services/รับซื้อ-cpu-โคราช.md","Product service","1807","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อ-imac-mac-mini-โคราช","src/content/services/รับซื้อ-imac-mac-mini-โคราช.md","Product service","2034","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อ-ipad-โคราช","src/content/services/รับซื้อ-ipad-โคราช.md","Product service","2188","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อ-iphone-โคราช","src/content/services/รับซื้อ-iphone-โคราช.md","Product service","2242","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อ-macbook-โคราช","src/content/services/รับซื้อ-macbook-โคราช.md","Product service","2157","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อ-nintendo-switch-โคราช","src/content/services/รับซื้อ-nintendo-switch-โคราช.md","Product service","1813","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อ-playstation-โคราช","src/content/services/รับซื้อ-playstation-โคราช.md","Product service","1853","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อ-server-network-โคราช","src/content/services/รับซื้อ-server-network-โคราช.md","Product service","1814","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อ-ssd-hdd-โคราช","src/content/services/รับซื้อ-ssd-hdd-โคราช.md","Product service","1840","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อกล้อง-โคราช","src/content/services/รับซื้อกล้อง-โคราช.md","Product service","1834","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อการ์ดจอ-โคราช","src/content/services/รับซื้อการ์ดจอ-โคราช.md","Product service","1830","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อคอมตั้งโต๊ะ-โคราช","src/content/services/รับซื้อคอมตั้งโต๊ะ-โคราช.md","Product service","1888","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อคอมบริษัท-โคราช","src/content/services/รับซื้อคอมบริษัท-โคราช.md","B2B/bulk","1837","detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อคอมประกอบ-โคราช","src/content/services/รับซื้อคอมประกอบ-โคราช.md","Product service","1870","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อคอมพิวเตอร์-โคราช","src/content/services/รับซื้อคอมพิวเตอร์-โคราช.md","Product service","1900","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อคอมเกมมิ่ง-โคราช","src/content/services/รับซื้อคอมเกมมิ่ง-โคราช.md","Product service","1910","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อคอมเก่า-โคราช","src/content/services/รับซื้อคอมเก่า-โคราช.md","Product service","1816","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อจอมอนิเตอร์-โคราช","src/content/services/รับซื้อจอมอนิเตอร์-โคราช.md","Product service","1812","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อลำโพง-โคราช","src/content/services/รับซื้อลำโพง-โคราช.md","Product service","1810","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อสินค้าไอที","src/content/services/รับซื้อสินค้าไอที.md","Main service hub","1826","detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อสินค้าไอทียกล็อต","src/content/services/รับซื้อสินค้าไอทียกล็อต.md","B2B/bulk","1826","detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อสินค้าไอทีไม่มีอุปกรณ์-โคราช","src/content/services/รับซื้อสินค้าไอทีไม่มีอุปกรณ์-โคราช.md","Condition","1819","detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อสินค้าไอทีไม่ได้ใช้งาน-โคราช","src/content/services/รับซื้อสินค้าไอทีไม่ได้ใช้งาน-โคราช.md","Condition","1820","detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อหูฟัง-โคราช","src/content/services/รับซื้อหูฟัง-โคราช.md","Product service","1806","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้ออุปกรณ์-pos-โคราช","src/content/services/รับซื้ออุปกรณ์-pos-โคราช.md","Product service","1802","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้ออุปกรณ์คอมพิวเตอร์-โคราช","src/content/services/รับซื้ออุปกรณ์คอมพิวเตอร์-โคราช.md","Product service","1814","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้ออุปกรณ์สำนักงาน","src/content/services/รับซื้ออุปกรณ์สำนักงาน.md","B2B/bulk","1841","detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อเครื่องปริ้น-โคราช","src/content/services/รับซื้อเครื่องปริ้น-โคราช.md","Product service","1811","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อเครื่องเกม-โคราช","src/content/services/รับซื้อเครื่องเกม-โคราช.md","Product service","1813","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อเมนบอร์ด-โคราช","src/content/services/รับซื้อเมนบอร์ด-โคราช.md","Product service","1845","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อเลนส์กล้อง-โคราช","src/content/services/รับซื้อเลนส์กล้อง-โคราช.md","Product service","1847","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อเวิร์กสเตชัน-โคราช","src/content/services/รับซื้อเวิร์กสเตชัน-โคราช.md","Product service","1928","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อแท็บเล็ต-โคราช","src/content/services/รับซื้อแท็บเล็ต-โคราช.md","Product service","1912","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อแรม-โคราช","src/content/services/รับซื้อแรม-โคราช.md","Product service","1812","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อโทรศัพท์-android-โคราช","src/content/services/รับซื้อโทรศัพท์-android-โคราช.md","Product service","1864","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อโทรศัพท์-oppo-โคราช","src/content/services/รับซื้อโทรศัพท์-oppo-โคราช.md","Product service","1837","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อโทรศัพท์-samsung-โคราช","src/content/services/รับซื้อโทรศัพท์-samsung-โคราช.md","Product service","1906","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อโทรศัพท์-vivo-โคราช","src/content/services/รับซื้อโทรศัพท์-vivo-โคราช.md","Product service","1803","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อโทรศัพท์-xiaomi-redmi-poco-โคราช","src/content/services/รับซื้อโทรศัพท์-xiaomi-redmi-poco-โคราช.md","Product service","1832","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อโทรศัพท์จอแตก-โคราช","src/content/services/รับซื้อโทรศัพท์จอแตก-โคราช.md","Condition","1800","detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อโทรศัพท์มือถือ-โคราช","src/content/services/รับซื้อโทรศัพท์มือถือ-โคราช.md","Product service","1993","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อโน๊ตบุ๊ค-โคราช","src/content/services/รับซื้อโน๊ตบุ๊ค-โคราช.md","Product service","1944","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อโน๊ตบุ๊คจอแตก-โคราช","src/content/services/รับซื้อโน๊ตบุ๊คจอแตก-โคราช.md","Condition","1825","detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อโน๊ตบุ๊คเกมมิ่ง-โคราช","src/content/services/รับซื้อโน๊ตบุ๊คเกมมิ่ง-โคราช.md","Product service","1935","detected","detected","detected","medium","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อโน๊ตบุ๊คเปิดไม่ติด-โคราช","src/content/services/รับซื้อโน๊ตบุ๊คเปิดไม่ติด-โคราช.md","Condition","1850","detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/รับซื้อโน๊ตบุ๊คเสีย-โคราช","src/content/services/รับซื้อโน๊ตบุ๊คเสีย-โคราช.md","Condition","1802","detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/วิธีขายสินค้า","src/content/services/วิธีขายสินค้า.md","Seller journey","1799","detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/วิธีประเมินราคา","src/content/services/วิธีประเมินราคา.md","Seller journey","1818","detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/ส่งสินค้าไอทีมาประเมิน","src/content/services/ส่งสินค้าไอทีมาประเมิน.md","Seller journey","1850","detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
"/เกี่ยวกับเรา","src/pages/เกี่ยวกับเรา.astro","About","158","not detected","detected","detected","low","5","Page has a distinct role, substantive main content and safe conversion path","Keep as is","No action"
