"URL","Source file","Answer-first","Direct answer evidence","FAQ count","Process answer","Pricing answer","Ownership answer","AEO readiness","Recommendation"
"/404","src/pages/404.astro","no","No clear answer-first paragraph detected","0","no","no","no","Missing","P2: improve concise answer-first block or task-specific answers without changing keyword ownership"
"/","src/pages/index.astro","yes","WINNER IT รับซื้อสินค้าไอทีโคราช ประเมินเบื้องต้นผ่าน LINE WINNER IT รับซื้อโทรศัพท์ โน๊ตบุ๊ค คอมพิวเตอร์ และอุปกรณ์ไอทีในจังหวัดนครราชสีมา ส่งรูปประเมินผ่าน LINE @buyhub แล้ววนัดต","6","yes","yes","yes","Strong","Keep as is"
"/ขายคอมหลายเครื่อง-โคราช","src/content/services/ขายคอมหลายเครื่อง-โคราช.md","yes","ขายคอมทีละหลายเครื่อง ร้านคอม โรงเรียน หรือผู้ที่อัปเกรดหลายเครื่อง ควรส่งรายการสเปกและจำนวน ทีมงานประเมินเป็นล็อตหรือรายเครื่อง WINNER IT รับซื้อในโคราชโดยนัดหมาย รูปแบบรายการ Exc","8","yes","yes","yes","Strong","Keep as is"
"/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช","src/content/services/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช.md","no","No clear answer-first paragraph detected","8","yes","yes","yes","Missing","P2: improve concise answer-first block or task-specific answers without changing keyword ownership"
"/ข้อกำหนดการใช้บริการ","src/pages/ข้อกำหนดการใช้บริการ.astro","yes","การใช้เว็บไซต์ รับซื้อไอทีโคราช.com และการติดต่อเพื่อใช้บริการรับซื้อสินค้าไอที ถือว่าผู้ใช้ยอมรับข้อกำหนดฉบับนี้ ขอบเขตบริการ บริการประกอบด้วยการประเมินเบื้องต้นผ่าน LINE การนัดรั","0","yes","no","yes","Adequate","P2: improve concise answer-first block or task-specific answers without changing keyword ownership"
"/คำถามที่พบบ่อย","src/pages/คำถามที่พบบ่อย.astro","yes","รวมคำตอบสั้น ๆ สำหรับผู้ที่อยากขายสินค้าไอทีในจังหวัดนครราชสีมา เริ่มต้นขายสินค้าไอทีอย่างไร แอด LINE @buyhub แล้วส่งรูป รุ่น สภาพ อุปกรณ์ พื้นที่ และจำนวนชิ้นเพื่อประเมินเบื้องต้น","8","yes","no","yes","Strong","Keep as is"
"/ติดต่อ","src/pages/ติดต่อ.astro","yes","ช่องทางหลักสำหรับการส่งรูปและรายละเอียดสินค้าคือ LINE @buyhub หากต้องการพูดคุยเพิ่มเติม สามารถโทรหาเราได้ตามเบอร์ด้านล่าง LINE Official แอดไลน์: @buyhub แอด LINE @buyhub เปิด LINE ","0","yes","no","no","Adequate","P2: improve concise answer-first block or task-specific answers without changing keyword ownership"
"/นโยบายความเป็นส่วนตัว","src/pages/นโยบายความเป็นส่วนตัว.astro","yes","WINNER IT ดำเนินงานโดย บริษัท อำพล เทรดดิ้ง จำกัด ให้ความสำคัญกับข้อมูลที่ลูกค้าส่งมาเพื่อประเมินสินค้า ข้อมูลที่อาจได้รับ ชื่อหรือชื่อที่แสดงใน LINE เบอร์โทรศัพท์ที่ลูกค้าให้ไว้ ร","0","yes","yes","yes","Adequate","P2: improve concise answer-first block or task-specific answers without changing keyword ownership"
"/นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ","src/pages/นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ.astro","yes","เพื่อให้การซื้อขายโปร่งใส WINNER IT ขอความร่วมมือจากผู้ขายในการยืนยันกรรมสิทธิ์ และเตรียมปลดล็อกบัญชีที่เกี่ยวข้องก่อนส่งมอบสินค้า หลักการทั่วไป ประเมินเบื้องต้นจากรูปและข้อมูลที่ล","0","yes","no","yes","Adequate","P2: improve concise answer-first block or task-specific answers without changing keyword ownership"
"/บทความ/ssd-และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย","src/content/articles/ssd-และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย.md","no","No clear answer-first paragraph detected","0","yes","yes","no","Missing","P2: improve concise answer-first block or task-specific answers without changing keyword ownership"
"/บทความ/กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่","src/content/articles/กล่องและอุปกรณ์มีผลต่อราคามือสองหรือไม่.md","no","No clear answer-first paragraph detected","0","yes","yes","no","Missing","P2: improve concise answer-first block or task-specific answers without changing keyword ownership"
"/บทความ/ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร","src/content/articles/ขายคอมหลายเครื่องควรเตรียมรายการอย่างไร.md","no","No clear answer-first paragraph detected","0","yes","yes","no","Missing","P2: improve concise answer-first block or task-specific answers without changing keyword ownership"
"/บทความ/ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร","src/content/articles/ขายอุปกรณ์ไอทีของบริษัทต้องเตรียมเอกสารอะไร.md","no","No clear answer-first paragraph detected","0","yes","no","no","Missing","P2: improve concise answer-first block or task-specific answers without changing keyword ownership"
"/บทความ/ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง","src/content/articles/ข้อควรรู้ก่อนขายกล้องและเลนส์มือสอง.md","no","No clear answer-first paragraph detected","0","yes","yes","no","Missing","P2: improve concise answer-first block or task-specific answers without changing keyword ownership"
"/บทความ/ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน","src/content/articles/ปัจจัยที่ทำให้ราคาการ์ดจอมือสองแตกต่างกัน.md","no","No clear answer-first paragraph detected","0","yes","yes","no","Missing","P2: improve concise answer-first block or task-specific answers without changing keyword ownership"
"/บทความ/วิธีถ่ายรูปสินค้าไอทีเพื่อให้ประเมินราคาได้เร็ว","src/content/articles/วิธีถ่ายรูปสินค้าไอทีเพื่อให้ประเมินราคาได้เร็ว.md","no","No clear answer-first paragraph detected","0","yes","yes","no","Missing","P2: improve concise answer-first block or task-specific answers without changing keyword ownership"
"/บทความ/วิธีลบข้อมูลก่อนขายคอมพิวเตอร์","src/content/articles/วิธีลบข้อมูลก่อนขายคอมพิวเตอร์.md","no","No clear answer-first paragraph detected","0","yes","no","yes","Missing","P2: improve concise answer-first block or task-specific answers without changing keyword ownership"
"/บทความ/วิธีออกจาก-icloud-ก่อนขาย-iphone-หรือ-ipad","src/content/articles/วิธีออกจาก-icloud-ก่อนขาย-iphone-หรือ-ipad.md","no","No clear answer-first paragraph detected","0","yes","no","yes","Missing","P2: improve concise answer-first block or task-specific answers without changing keyword ownership"
"/บทความ/วิธีออกจากบัญชี-google-ก่อนขายโทรศัพท์-android","src/content/articles/วิธีออกจากบัญชี-google-ก่อนขายโทรศัพท์-android.md","no","No clear answer-first paragraph detected","0","yes","no","yes","Missing","P2: improve concise answer-first block or task-specific answers without changing keyword ownership"
"/บทความ/วิธีเช็กสเปกโน๊ตบุ๊คก่อนส่งประเมิน","src/content/articles/วิธีเช็กสเปกโน๊ตบุ๊คก่อนส่งประเมิน.md","no","No clear answer-first paragraph detected","0","yes","yes","no","Missing","P2: improve concise answer-first block or task-specific answers without changing keyword ownership"
"/บทความ/สินค้าไอทีเปิดไม่ติดยังประเมินราคาได้อย่างไร","src/content/articles/สินค้าไอทีเปิดไม่ติดยังประเมินราคาได้อย่างไร.md","no","No clear answer-first paragraph detected","0","yes","yes","no","Missing","P2: improve concise answer-first block or task-specific answers without changing keyword ownership"
"/บทความ/ส่งโน๊ตบุ๊คหรือโทรศัพท์อย่างไรให้ปลอดภัย","src/content/articles/ส่งโน๊ตบุ๊คหรือโทรศัพท์อย่างไรให้ปลอดภัย.md","no","No clear answer-first paragraph detected","0","yes","no","yes","Missing","P2: improve concise answer-first block or task-specific answers without changing keyword ownership"
"/บทความ/เช็กราคาสินค้าไอทีก่อนขายต้องดูอะไรบ้าง","src/content/articles/เช็กราคาสินค้าไอทีก่อนขายต้องดูอะไรบ้าง.md","no","No clear answer-first paragraph detected","0","yes","yes","no","Missing","P2: improve concise answer-first block or task-specific answers without changing keyword ownership"
"/บทความ/เตรียมโน๊ตบุ๊คก่อนขายอย่างไร","src/content/articles/เตรียมโน๊ตบุ๊คก่อนขายอย่างไร.md","no","No clear answer-first paragraph detected","0","yes","yes","yes","Missing","P2: improve concise answer-first block or task-specific answers without changing keyword ownership"
"/บทความ","src/pages/บทความ/index.astro","yes","หน้าแรก บทความ บทความแนะนำก่อนขายสินค้าไอที ความรู้ที่ใช้ได้จริงก่อนส่งรูปประเมินผ่าน LINE SSD และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย จัดการ SSD และข้อมูลส่วนตัวก่อนขายด้วยการลบข้","0","yes","yes","yes","Adequate","P2: improve concise answer-first block or task-specific answers without changing keyword ownership"
"/บริการรับซื้อถึงที่โคราช","src/content/services/บริการรับซื้อถึงที่โคราช.md","yes","รับซื้อถึงที่โดยนัดหมาย สำหรับลูกค้าในโคราชที่สะดวกให้เข้ารับถึงบ้าน สำนักงาน หรือร้าน WINNER IT มีบริการนัดรับตามพื้นที่และตารางเวลา ไม่ได้บริการแบบฉับพลันโดยไม่นัดทุกจุดหรือทุกอำ","8","yes","yes","yes","Strong","Keep as is"
"/บริษัทปิดกิจการขายอุปกรณ์ไอที","src/content/services/บริษัทปิดกิจการขายอุปกรณ์ไอที.md","yes","ปิดกิจการและขาย IT เมื่อบริษัทเลิกดำเนินการ ต้องการขายคอม จอ เซิร์ฟเวอร์ อุปกรณ์เครือข่ายอย่างถูกต้อง WINNER IT ช่วยประเมินและนัดรับในโคราช ต้องมีผู้มีอำนาจขายและเอกสารตามที่ตกลง a","8","yes","yes","yes","Strong","Keep as is"
