finding_id,severity,category,url_or_file,evidence,impact,root_cause,recommendation,effort,expected_impact,test_after_fix
F-001,P1,Local SEO / E-E-A-T,/เกี่ยวกับเรา;/ติดต่อ;src/data/site.ts,Brief requires Ubon store; production homepage has 0 Ubon mentions; no Maps,Entity mismatch; weaker local trust and AI citations,Site scoped as Korat service area without HQ NAP,Publish verified Ubon NAP/hours/Maps; clarify Korat as service area not branch,M,High,About/Contact show address; LocalBusiness validates; no false branch claims
F-002,P1,Analytics,src/layouts/BaseLayout.astro; production HTML,winner_cta dispatched; no gtag/GTM/G- ID on homepage,Cannot attribute LINE/phone conversions to pages,Event bus without analytics sink,Add GA4 + Consent Mode; map winner_cta to events without PII,M,High,DebugView shows line/phone events; consent gates tags
F-003,P1,UX/CRO,sitewide,crawl hasFB=false all pages; no facebook.com links on homepage,Misses brief conversion channel,Facebook URL never added to site config,Add Facebook CTA when official page URL confirmed,S,Medium,FB link present header/footer/sticky; click event fires
F-004,P1,Local SEO,schema.ts; crawl hasMaps=false,Organization only; no LocalBusiness/Store; no Maps,Poor Maps pack / knowledge corroboration,Deliberate no-store stance for Korat without HQ publish,Add LocalBusiness for Ubon only with on-page address match,M,High,Rich Results / schema validator; NAP match GBP
F-005,P1,GEO / Entity,/เกี่ยวกับเรา,About denies Korat store; omits Ubon HQ,AI/search may under-trust physical business,Content policy incomplete vs business brief,Rewrite About with verified HQ facts + service-area wording,M,High,About mentions Ubon HQ + Korat service; no branch claim
F-006,P1,Deployment identity,git; Vercel,Local ahead 1 of origin; production SHA not re-proven this session,Risk of docs/code drift confusion before next deploy,Docs commits + no Vercel API check,Confirm Vercel deployment commit; sync origin; avoid dirty deploys,S,Medium,origin/main==deployed SHA for content commits
F-007,P1,Measurement / GSC,GSC,Prior audits: GSC unavailable; still NOT PROVEN,Blind to index coverage and CWV field data,Property access / verification gap,Verify Search Console; submit sitemap; export coverage,S,High,Sitemap fetched; coverage export archived
F-008,P2,Content,14 thin URLs in crawl-summary,Articles/areas wordCount<400,Weak AEO/snippets; doorway risk on amphoe,Short templates,Rewrite thin articles; improve or merge thin areas,L,Medium,Re-crawl wc; no new doorway provinces
F-009,P2,Security,response headers,CSP/XCTO/XFO/Referrer/Permissions null; HSTS present,Clickjacking/MIME sniffing residual risk,Headers not set in vercel.json,Add security headers; report-only CSP first,S,Medium,securityheaders.com or curl shows headers
F-010,P2,CRO,sitewide forms,No on-site valuation form,Friction for users avoiding LINE,LINE-only funnel by design,MVP form with photo upload + non-PII analytics,L,High,Submit success path; spam protection; privacy notice
F-011,P2,AEO,/คำถามที่พบบ่อย,wordCount~219,Weak FAQ hub for AI Overviews,Stub page,Expand real customer FAQs matching on-page + schema,M,Medium,FAQ count>=8; schema matches visible Q&A
F-012,P2,Content / CRO,/วิธีประเมินราคา,Competitors show price ranges; this domain lighter on ranges,Lower commercial investigation satisfaction,Avoid overclaim historically,Add dated reference ranges with strong disclaimer,M,High,Ranges visible; disclaimer present; no guarantee claims
F-013,P2,Privacy,cookie policy,No cookie policy page,Compliance gap when tags added,No non-essential cookies yet,Add cookie policy with GA launch,S,Medium,Linked from footer + consent UI
F-014,P2,Internal linking,articles → money,Contextual links inconsistent,Missed equity to money pages,Template CTA only,Add 1-2 contextual links per article to matching services,M,Medium,Crawl shows increased inlinks to hubs
F-015,P2,Local SEO,/พื้นที่/* thin,4 amphoe pages <400 words,Doorway-adjacent risk,Template locality pages,Add unique logistics or merge into city hub,M,Medium,Either unique content or 301 to hub
F-016,P2,Technical SEO,Twitter metadata,Not systematically verified sitewide,Weaker social previews,OG prioritized over Twitter tags,Ensure twitter:card on BaseLayout,S,Low,Meta present on sample pages
F-017,P2,Performance,Field CWV,PSI 429; GSC CWV unavailable,Cannot prove CWV competitiveness,Tooling limits this session,Collect lab+field baselines next sprint,M,Medium,CrUX/GSC shows Good or plan fixes
F-018,P2,E-E-A-T,photos/reviews,No storefront/team/transaction photos on site,Lower trust vs walk-in competitors,Asset not published,Publish real photos only; GBP reviews program,M,High,About/Contact media gallery live
F-019,P2,Analytics false positive,gap-audit-crawl.ts hasGA,hasGA true but HTML has no GA,Audit noise,Regex too broad,Fix detector in future tooling (report-only now),S,Low,hasGA false without tags
F-020,P2,Legal pages depth,/ข้อกำหนดการใช้บริการ,wc~120,Thin legal/trust page,Short stub,Expand essential terms without legalese spam,S,Low,wc and counsel review
