"Cluster","URL A","URL B","Candidate Type","Intent Relationship","Title similarity","H1 similarity","Raw Body Similarity","Boilerplate-adjusted Similarity","FAQ Similarity","Shared Product Entity","Shared Condition Entity","Shared Geographic Entity","Same Parent Hub","Internal anchor conflict","Query Evidence Available","Decision Eligible","Review Priority","Risk","Recommended winner","Recommended action","Requires GSC","Reason","Validation method"
"CORE-LOCAL/CORE-SERVICE","/","/รับซื้อสินค้าไอที","Parent-child overlap","parent-child","0.636","0.667","0.576","0.471","0.467","none","none","none","No","not detected","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.576; adjusted=0.471; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อโทรศัพท์-android-โคราช","/รับซื้อโทรศัพท์มือถือ-โคราช","Parent-child overlap","parent-child","0.783","0.7","0.915","0.675","0.87","โทรศัพท์","none","โคราช","Yes","shared contextual targets","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.915; adjusted=0.675; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-ipad-โคราช","/รับซื้อแท็บเล็ต-โคราช","Internal-link overlap","sibling-distinct","0.783","0.9","0.882","0.637","0.92","ipad","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.882; adjusted=0.637; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"OTHER-PRODUCT","/รับซื้อโน๊ตบุ๊ค-โคราช","/รับซื้อโน๊ตบุ๊คเกมมิ่ง-โคราช","Potential cannibalization","sibling-distinct","0.833","0.762","0.873","0.659","0.903","โน๊ตบุ๊ค","none","โคราช","Yes","shared contextual targets","No","No","P1 review","requires GSC","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.873; adjusted=0.659; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"B2B","/ขายคอมหลายเครื่อง-โคราช","/รับซื้อคอมบริษัท-โคราช","Low relevance similarity","sibling-distinct","0.6","0.4","0.949","0.704","0.654","none","none","โคราช","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.949; adjusted=0.704; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"B2B","/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช","/บริษัทปิดกิจการขายอุปกรณ์ไอที","Low relevance similarity","sibling-distinct","0.706","0.5","0.98","0.861","0.462","none","none","none","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.98; adjusted=0.861; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"CAMERA","/รับซื้อกล้อง-โคราช","/รับซื้อเลนส์กล้อง-โคราช","Parent-child overlap","parent-child","0.727","0.889","0.911","0.631","0.842","กล้อง","none","โคราช","Yes","not detected","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.911; adjusted=0.631; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"GAMING","/รับซื้อ-playstation-โคราช","/รับซื้อเครื่องเกม-โคราช","Parent-child overlap","parent-child","0.5","0.667","0.937","0.807","0.941","none","none","โคราช","Yes","not detected","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.937; adjusted=0.807; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"GAMING","/รับซื้อ-nintendo-switch-โคราช","/รับซื้อเครื่องเกม-โคราช","Parent-child overlap","parent-child","0.636","0.6","0.945","0.824","0.923","none","none","โคราช","Yes","not detected","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.945; adjusted=0.824; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"TRUST-FAQ/CORE-SERVICE","/คำถามที่พบบ่อย","/รับซื้อสินค้าไอที","Low relevance similarity","sibling-distinct","0.267","0","0.38","0.085","0.375","none","none","none","Yes","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.38; adjusted=0.085; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"SELLER-JOURNEY/LOCATION","/บริการรับซื้อถึงที่โคราช","/พื้นที่/ปากช่อง","Low relevance similarity","location-service","0.588","0.4","0.45","0.347","0.416","none","none","none","No","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.45; adjusted=0.347; relationship=location-service","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-iphone-โคราช","/รับซื้อโทรศัพท์มือถือ-โคราช","Parent-child overlap","parent-child","0.64","0.818","0.872","0.651","0.835","none","none","โคราช","Yes","shared contextual targets","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.872; adjusted=0.651; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-ipad-โคราช","/รับซื้อโทรศัพท์มือถือ-โคราช","Parent-child overlap","parent-child","0.64","0.818","0.842","0.522","0.854","none","none","โคราช","Yes","shared contextual targets","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.842; adjusted=0.522; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-macbook-โคราช","/รับซื้อโทรศัพท์มือถือ-โคราช","Parent-child overlap","parent-child","0.64","0.818","0.816","0.522","0.835","none","none","โคราช","Yes","shared contextual targets","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.816; adjusted=0.522; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-imac-mac-mini-โคราช","/รับซื้อโทรศัพท์มือถือ-โคราช","Parent-child overlap","parent-child","0.667","0.571","0.83","0.498","0.835","none","none","โคราช","Yes","shared contextual targets","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.83; adjusted=0.498; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อ-apple-watch-โคราช","/รับซื้อโทรศัพท์มือถือ-โคราช","Parent-child overlap","parent-child","0.615","0.783","0.879","0.609","0.826","none","none","โคราช","Yes","shared contextual targets","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.879; adjusted=0.609; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"COMPUTER","/รับซื้อคอมตั้งโต๊ะ-โคราช","/รับซื้อคอมพิวเตอร์-โคราช","Parent-child overlap","parent-child","0.56","0.632","0.922","0.704","0.897","none","none","โคราช","Yes","shared contextual targets","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.922; adjusted=0.704; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"COMPUTER","/รับซื้อคอมประกอบ-โคราช","/รับซื้อคอมพิวเตอร์-โคราช","Parent-child overlap","parent-child","0.5","0.571","0.92","0.695","0.835","none","none","โคราช","Yes","shared contextual targets","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.92; adjusted=0.695; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"COMPUTER","/รับซื้อคอมพิวเตอร์-โคราช","/รับซื้อคอมเกมมิ่ง-โคราช","Parent-child overlap","parent-child","0.56","0.545","0.903","0.656","0.83","none","none","โคราช","Yes","shared contextual targets","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.903; adjusted=0.656; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"COMPUTER","/รับซื้อคอมพิวเตอร์-โคราช","/รับซื้อคอมเก่า-โคราช","Parent-child overlap","parent-child","0.667","0.4","0.733","0.351","0.435","none","none","โคราช","Yes","not detected","No","No","P2 review","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.733; adjusted=0.351; relationship=parent-child","28+ days GSC query/page data plus operational and conversion evidence"
"B2B/COMPUTER","/รับซื้อคอมบริษัท-โคราช","/รับซื้อคอมพิวเตอร์-โคราช","Template similarity","template-only","0.5","0.4","0.722","0.335","0.338","none","none","โคราช","No","not detected","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.722; adjusted=0.335; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อโทรศัพท์-android-โคราช","/รับซื้อโทรศัพท์-samsung-โคราช","Internal-link overlap","sibling-distinct","0.857","0.875","0.892","0.641","0.848","โทรศัพท์","none","โคราช","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.892; adjusted=0.641; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อโทรศัพท์-android-โคราช","/รับซื้อโทรศัพท์-oppo-โคราช","Potential cannibalization","sibling-distinct","0.9","0.875","0.919","0.723","0.857","โทรศัพท์","none","โคราช","Yes","shared contextual targets","No","No","P1 review","requires GSC","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.919; adjusted=0.723; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อโทรศัพท์-android-โคราช","/รับซื้อโทรศัพท์-vivo-โคราช","Potential cannibalization","sibling-distinct","0.9","0.875","0.924","0.755","0.867","โทรศัพท์","none","โคราช","Yes","shared contextual targets","No","No","P1 review","requires GSC","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.924; adjusted=0.755; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"MOBILE-APPLE","/รับซื้อโทรศัพท์-android-โคราช","/รับซื้อโทรศัพท์-xiaomi-redmi-poco-โคราช","Potential cannibalization","sibling-distinct","0.818","0.778","0.923","0.757","0.83","โทรศัพท์","none","โคราช","Yes","shared contextual targets","No","No","P1 review","requires GSC","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.923; adjusted=0.757; relationship=sibling-distinct","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ด่านขุนทด","/พื้นที่/บัวใหญ่","Location template similarity","template-only","0.857","0.8","0.617","0.511","0.707","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.617; adjusted=0.511; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ด่านขุนทด","/พื้นที่/ปักธงชัย","Location template similarity","template-only","0.857","0.8","0.643","0.58","0.716","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.643; adjusted=0.58; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ด่านขุนทด","/พื้นที่/ปากช่อง","Location template similarity","template-only","0.857","0.8","0.59","0.477","0.622","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.59; adjusted=0.477; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ด่านขุนทด","/พื้นที่/พิมาย","Location template similarity","template-only","0.857","0.8","0.703","0.642","0.795","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.703; adjusted=0.642; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ด่านขุนทด","/พื้นที่/มหาวิทยาลัยเทคโนโลยีสุรนารี","Location template similarity","template-only","0.588","0.462","0.663","0.57","0.682","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.663; adjusted=0.57; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
"LOCATION","/พื้นที่/ด่านขุนทด","/พื้นที่/สีคิ้ว","Location template similarity","template-only","0.857","0.8","0.573","0.457","0.565","none","none","Nakhon Ratchasima; distinct areas","Yes","shared contextual targets","No","No","P3 monitor","not structurally actionable","Requires GSC query ownership","Monitor only; no merge, redirect, canonical or noindex action in Batch 1.2","Yes","raw=0.573; adjusted=0.457; relationship=template-only","28+ days GSC query/page data plus operational and conversion evidence"
