"URL","Source file","Search intent","Searcher","What they want","Decision stage","First information needed","Above-fold answer","CTA fit","Relationship","Next action","Intent-match score","Evidence","Recommendation","Requires GSC"
"/404","src/pages/404.astro","Error recovery","ผู้ขายสินค้าไอทีในโคราช","ไม่พบหน้านี้","Recovery","ไม่พบหน้าเว็บที่คุณต้องการ สามารถกลับหน้าแรกหรือติดต่อ LINE @buyhub ได้","no","appropriate","Supports parent hub","Return to service hub","5","Title, H1, opening and CTA align","Keep as is","No"
"/","src/pages/index.astro","Local transactional","ผู้ขายสินค้าไอทีในโคราช","รับซื้อสินค้าไอทีโคราช ประเมินเบื้องต้นผ่าน LINE","Evaluate/contact","รับซื้อสินค้าไอทีมือสองในนครราชสีมา ประเมินผ่าน LINE @buyhub นัดรับตามคิวและระยะทาง ราคาสุดท้ายยืนยันหลังตรวจของจริง","yes","appropriate","Primary owner","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/ขายคอมหลายเครื่อง-โคราช","src/content/services/ขายคอมหลายเครื่อง-โคราช.md","B2B/bulk transactional","องค์กร/ผู้ดูแลทรัพย์สินไอที","ขายคอมหลายเครื่อง โคราช","Evaluate/contact","WINNER IT รับซื้อคอมหลายเครื่องในโคราช ร้านคอม โรงเรียน ส่งรายการประเมิน ผ่าน LINE @buyhub","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช","src/content/services/ขายอุปกรณ์ไอทียกสำนักงาน-โคราช.md","B2B/bulk transactional","องค์กร/ผู้ดูแลทรัพย์สินไอที","ขายอุปกรณ์ไอทียกสำนักงาน โคราช","Evaluate/contact","WINNER IT รับซื้ออุปกรณ์ไอทียกสำนักงานในโคราช คอม จอ โทรศัพท์ ปริ้น ประเมินยกชุด ผ่าน LINE @buyhub","no","appropriate","Supports parent hub","Send details via LINE or call","4","Title, H1, opening and CTA align","Keep as is","No"
"/ข้อกำหนดการใช้บริการ","src/pages/ข้อกำหนดการใช้บริการ.astro","Policy","ผู้ขายสินค้าไอทีในโคราช","ข้อกำหนดการใช้บริการ","Evaluate/contact","ข้อกำหนดการใช้บริการเว็บไซต์รับซื้อไอทีโคราช และเงื่อนไขการประเมินสินค้าของ WINNER IT","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/คำถามที่พบบ่อย","src/pages/คำถามที่พบบ่อย.astro","Trust/navigation","ผู้ขายสินค้าไอทีในโคราช","คำถามที่พบบ่อย","Evaluate/contact","รวมคำถามที่พบบ่อยเกี่ยวกับการประเมิน รับซื้อ นัดรับ และจัดส่งสินค้าไอทีในโคราช","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/ติดต่อ","src/pages/ติดต่อ.astro","Trust/navigation","ผู้ขายสินค้าไอทีในโคราช","ติดต่อ WINNER IT","Evaluate/contact","ติดต่อ WINNER IT เพื่อประเมินสินค้าไอทีในโคราช ผ่าน LINE @buyhub หรือโทร 095-547-9408","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/นโยบายความเป็นส่วนตัว","src/pages/นโยบายความเป็นส่วนตัว.astro","Policy","ผู้ขายสินค้าไอทีในโคราช","นโยบายความเป็นส่วนตัว","Evaluate/contact","นโยบายความเป็นส่วนตัวสำหรับการติดต่อและส่งข้อมูลประเมินสินค้าของ WINNER IT","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ","src/pages/นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ.astro","Policy","ผู้ขายสินค้าไอทีในโคราช","นโยบายรับซื้อสินค้าและการยืนยันเจ้าของ","Evaluate/contact","เงื่อนไขการรับซื้อสินค้าไอที การยืนยันเจ้าของ และรายการที่ไม่รับซื้อของ WINNER IT","yes","appropriate","Supports parent hub","Send details via LINE or call","5","Title, H1, opening and CTA align","Keep as is","No"
"/บทความ/ssd-และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย","src/content/articles/ssd-และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย.md","Informational","ผู้ขายที่กำลังหาข้อมูล","SSD และข้อมูลส่วนตัวควรจัดการอย่างไรก่อนขาย","Research","คู่มือจัดการ SSD และข้อมูลส่วนตัวก่อนขายคอมหรือโน๊ตบุ๊ค ครอบคลุมการลบข้อมูล ถอด SSD และ Secure Erase","no","appropriate","Supports parent hub","Read then visit relevant service","4","Title, H1, opening and CTA align","Keep as is","No"
